X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.0275859996358,38.9037504320731,25,{2680DB20-85BD-452F-A503-B2A66E05515F},25,Double parking,2015/06/29 20:26:57+00,Unassigned,10829,"Shuttle bus keeps stopping here, even during the rush hour/ no parking times. Multiple instances of shuttle bus stopped in the right most lane from 4-6:30 pm daily.",Car Driver
-77.0229493328902,38.9167264067059,26,{8F4C7C1C-CF58-4198-8EBD-1D283D46A6F0},26,Long wait to cross,2015/06/29 20:27:02+00,Unassigned,9162,near impossible,Pedestrian
-76.9771113577497,38.9100949885511,27,{A2E54B4C-5E77-4FDD-B85F-4EA0C84C8AB8},27,Speeding,2015/06/29 20:27:28+00,Unassigned,791,Car often treat this as a limited access highway.,Biker
-77.0175604433772,38.8857383160981,28,{27774BA3-F2DA-431A-B7B1-13E550800D26},28,Double parking,2015/06/29 20:27:47+00,Unassigned,1143,I have encountered a Government shuttle bus double parking in the bike lane to discharge passengers on multiple occasions at this location.,Biker
-77.0225558005753,38.9241960628499,29,{B2ABDD65-F361-445E-9C4A-28385ED64292},29,Long wait to cross,2015/06/29 20:28:03+00,Unassigned,2759,,Pedestrian
-77.0227579311624,38.9257908033742,30,{D168D765-FAA1-46FC-A52E-C7487CA811D9},30,Speeding,2015/06/29 20:28:22+00,Unassigned,11358,,Pedestrian
-77.0327389753414,38.9295860984741,31,{5EC428D6-DBE4-4440-8618-1D1B0BADD4C5},31,Double parking,2015/06/29 20:28:28+00,Unassigned,763,"On 14th between Irving & Park, bike lanes are constantly blocked by double parked vehicles adding more chaos to an already complex road environemnt",Biker
-76.9741844433596,38.9424647331223,32,{D75759C3-B8DD-43EC-9697-FC3440FE2614},32,Speeding,2015/06/29 20:28:41+00,Unassigned,11193,west/southbound drivers accelerate aggressively off the light at Eastern,Pedestrian
-76.9762248788666,38.9277162905815,33,{EED90197-3D10-4E6F-A928-48A9DF8BC47F},33,Stop sign running,2015/06/29 20:28:46+00,Unassigned,8517,Cars on 20th often fly through with little slowing.,Pedestrian
-77.0175621591667,38.8830491425684,34,{FB9AAAF9-0B42-4DFB-BEB6-31DEDCA6B4D2},34,Accessibility Issue,2015/06/29 20:29:08+00,Unassigned,6650,Construction site has closed the sidewalk without proper signage/ rerouting. They often impinge on the bike lane as well and park construction vehicles in the south bound lane without traffic rerouting or traffic direction.,Biker
-77.023993184885,38.9058692502256,35,{53A04E1F-8DBD-4853-87BD-FDDE6149572A},35,Other Driving Issue,2015/06/29 20:30:00+00,Unassigned,1383,cars will pass bikers in an extremely dangerous fashion,Biker
-77.0090628643447,38.8793011599848,36,{D52CEB46-338B-4DAB-A86D-EEF807DD62AA},36,Other Driving Issue,2015/06/29 20:30:20+00,Unassigned,8285,Drivers frequently use the right turn only lane to proceed straight on eastbound I St and drive through the bike lane.,Biker
-76.9937618152846,38.9037350999534,37,{85E0819E-EDB5-4E9D-A8A7-703187E8A638},37,Poor visibility,2015/06/29 20:30:15+00,Unassigned,10647,"When making a right from West Virginia onto L St, it's difficult to see if any cars are coming up or down 9th St (and folks often speed). It's also difficult for cars to negotiate right of way here because West Virginia traffic doesn't stop.",Biker
-77.0183330899213,38.9229306036682,38,{4367A4E8-E5A4-4C17-B1B7-78FEC0DDE303},38,Double parking,2015/06/29 20:30:27+00,Unassigned,2089,Drivers double park in the southbound bike lane waiting to pick up students from Howard every day from roughly 3-4pm forcing bicyclists to quickly merge into very fast downhill traffic.,Biker
-77.0327519980498,38.9299117669115,39,{242581FB-0C57-480B-836E-7A9B96C6834C},39,Double parking,2015/06/29 20:30:28+00,Unassigned,763,"cars, delivery trucks, metro shuttles, taxis park in this bike lane all day every day",Biker
-76.9941657030205,38.9255987124402,40,{9E096DD0-7AC3-4CD4-8149-5F9280285FD5},40,Speeding,2015/06/29 20:30:38+00,Unassigned,10289,"Lanes are very wide on the bridge, drivers speed to the next light or carry high speed into Brookland or Edgewood.",Car Driver
-77.0270559651082,38.8949908800716,41,{1740F180-1968-4AEA-9D2F-2B9733495B2C},41,Other Driving Issue,2015/06/29 20:31:34+00,Unassigned,12987,"Drivers frequently make left turns onto Penn from the right lane, proceeding across marked bike lanes to proceed west on Penn and interfering with drivers making the left from the left lane.",Biker
-77.0270529065524,38.8953334564209,42,{48E955DA-4D6A-44DD-8838-DF6BD6623568},42,Other Driving Issue,2015/06/29 20:32:17+00,Unassigned,12987,Frequent u-turns across the bike lane in the middle of 11th made by valets from the two restaurants on the corners of 11th & Penn.,Biker
-77.0327564923672,38.9300521178439,43,{F9914745-3D34-4AB5-AECC-3D9425AA6850},43,Failure to stop for pedestrians,2015/06/29 20:32:19+00,Unassigned,763,,Pedestrian
-77.0327325130782,38.9295175398233,44,{A26FEA7F-6C2A-4C33-805F-F1373167CE71},44,Double parking,2015/06/29 20:32:54+00,Unassigned,763,"drivers in bike lanes all the time, never enforced",Biker
-77.0550005847006,38.8998122506413,45,{82F7458E-2058-4AF9-9A63-1A903A157A78},45,Speeding,2015/06/29 20:33:25+00,Unassigned,937,,Biker
-77.0032731567524,38.9083426026003,46,{9CBAA58C-D12B-4FDE-A556-70EAE4B7EA75},46,Long wait to cross,2015/06/29 20:33:38+00,Unassigned,13973,Crossing Florida Ave. at 2nd street is a multi-minute experience,Pedestrian
-77.0225461944049,38.9243385357983,47,{D11859ED-DEF6-4F9E-90E8-40134EA48E8F},47,Other Driving Issue,2015/06/29 20:33:45+00,Unassigned,7530,"constant speeding, close passing",Biker
-77.0296275939198,38.9048501530145,48,{148BFB13-CC65-46F7-B347-7A69C77081EE},48,Failure to stop for pedestrians,2015/06/29 20:33:51+00,Unassigned,11875,Intersection dangerous for Peds at rush hour + at night. Rush hour drivers illegally turn left off NB 13th to drive under circle. Also frequent red light running. Low visibility of Peds. LPI works as slight deterrent but traffic cam would be better.,Pedestrian
-77.003499751182,38.9056593079578,49,{F2A0AFC7-2381-4F08-AEB6-55E9E545ED64},49,Other Driving Issue,2015/06/29 20:34:10+00,Unassigned,2016,WMATA vehicles regularly use the sidewalk to park.,Pedestrian
-77.0219033018567,38.918686906906,50,{4926AE04-E684-4B5E-9A26-12351447E645},50,Failure to stop for pedestrians,2015/06/29 20:34:31+00,Unassigned,13281,,Pedestrian
-77.0857288921317,38.9086929702761,51,{E2AA1B8E-7748-4530-9D71-B880F5EBE398},51,Speeding,2015/06/29 20:34:33+00,Unassigned,9827,Vehicles - including WMATA buses - regularly go 35-40 down this residential street.,Biker
-77.0229484857102,38.9166450535154,52,{FA779B8C-7B3D-4559-BD45-EE8FC85CB012},52,Failure to stop for pedestrians,2015/06/29 20:34:48+00,Unassigned,9162,,Pedestrian
-77.004122037188,38.9056592507147,53,{B86EEB4A-CA51-4296-99F0-532BB5D87547},53,Double parking,2015/06/29 20:35:04+00,Unassigned,2016,People regularly stand/park in the bike lanes.,Biker
-77.0403428771781,38.9242412179794,54,{D6500401-B4D7-4682-B733-7CA07C119C26},54,Failure to stop for pedestrians,2015/06/29 20:35:09+00,Unassigned,10909,light timing and light visibility means that drivers often continue through crosswalk even when peds have the green light.,Pedestrian
-77.0239707669376,38.9070747216101,55,{4D5FE07F-66B1-4849-A4E6-47476AAB9990},55,Speeding,2015/06/29 20:35:14+00,Unassigned,1383,,Biker
-77.0090583008032,38.9046994619954,56,{37B71784-EB9F-4F2A-A842-42E234B1BBBC},56,Long distance to cross,2015/06/29 20:35:15+00,Unassigned,12858,I am concerned about the ability of pedestrians to cross North Capitol to get to the bus stop on the southbound side between Pierce and L. The crosswalk is long and faded and drivers there move quickly and aggressively.,Car Driver
-77.0280862485064,38.9043192417886,57,{CB0D6647-3247-4D34-AE18-1CF000CABAA4},57,Other Driving Issue,2015/06/29 20:35:38+00,Unassigned,1586,The only time I don't see drivers blocking the box here during PM Rush is when DDOT officers are present. This intersection needs a serious redesign.,Biker
-77.0239936999487,38.902098580082,58,{703C56B0-CBAC-46D0-9174-41E9A24C6A74},58,Blocking the crosswalk,2015/06/29 20:35:32+00,Unassigned,12648,,Pedestrian
-77.0954306146228,38.9163214254068,59,{27CBD28A-B59C-4A46-A2AD-C6C5DA197104},59,Speeding,2015/06/29 20:36:02+00,Unassigned,6071,Literally no one obeys the school zone limit here. There are two schools here.,Biker
-77.0270407652968,38.9207786502537,60,{C76224DC-BA6D-41A0-B037-3AB232B7C42F},60,Other Biking Issue,2015/06/29 20:39:18+00,Unassigned,7206,"This area could use a continuation of the 11th Street bike lane, as it gets very congested until the bike lane returns further down the road.",Biker
-77.0302772448642,38.9094397052295,61,{002F64BC-75E4-4EA6-8A19-6E6E2CAAA812},61,Not enough time to cross,2015/06/29 20:39:36+00,Unassigned,9934,"Not enough time to cross (12 seconds, I believe) when walking from south side of RI Ave to P St.  Cars frequently run red light from Circle to RI Ave, makes for dangerous situation as Peds then have remaining time to cross 4 lanes and island.",Pedestrian
-77.0176846888541,38.8775124926454,62,{0661CBD1-40D7-4532-9A84-8EF405DB435D},62,Double parking,2015/06/29 20:40:04+00,Unassigned,14208,Cars double park for safeway and DC government offices in the bikelane... all the time.,Biker
-77.0065526851133,38.9111324065782,63,{9590BA10-70CA-41A7-93E6-F7B0FAB6664E},63,Other Driving Issue,2015/06/29 20:41:00+00,Unassigned,12882,"While 2 lanes on 1st street turning into Florida Ave have a sign showing 2 lanes are designated for East vs West, cars turn from outer most right lane onto 2 lanes marked for East instead of onto West, which leads to side collisions w cars.",Car Driver
-77.0876777922825,38.9358605990295,64,{7E70C2E4-14FE-4316-B7F4-53D4D2A6A87B},64,Long wait to cross,2015/06/29 20:42:21+00,Unassigned,6571,,Pedestrian
-77.0219189603498,38.8998066423934,65,{4359E4F5-2590-4A9F-80EC-184A78E67B4B},65,Double parking,2015/06/29 20:36:06+00,Unassigned,2783,,Pedestrian
-77.0385134173258,38.9037579515977,66,{4B2660CD-3FAB-4097-B70B-369F2934B3BD},66,Other Driving Issue,2015/06/29 20:36:14+00,Unassigned,11313,"Cars constantly take lefts over the L St. cycletrack here and in many other places along the cycletrack, holding up traffic and potentially killing cyclists.",Biker
-77.0219189132366,38.8996270670314,67,{002EDAAC-7F8B-45C1-A0F8-A822F93C5F1F},67,Double parking,2015/06/29 20:36:19+00,Unassigned,2783,drivers blocking bus stop,Pedestrian
-76.9772635001937,38.8886862237492,68,{1D5B0C80-8A5B-491A-9C1C-9BFFE9583FCC},68,Other Walking Issue,2015/06/29 20:36:44+00,Unassigned,6197,Bring back the crosswalk! It was recently removed for no good reason and this has become extremely dangerous.,Pedestrian
-77.0985296953434,38.9209612383562,69,{93776AF7-D43B-49F8-AB8E-9532F3096C5E},69,Speeding,2015/06/29 20:36:48+00,Unassigned,10049,90% of vehicles break the speed limit here to a dangerous degree.,Biker
-76.9772635786471,38.888711312099,70,{5906F690-38D1-454C-9212-B7E269603F3F},70,Other Walking Issue,2015/06/29 20:37:24+00,Unassigned,6197,The crosswalks at 19th and A ST SE were removed and replaced by an inconvenient mid-block crosswalk further up 19th.,Pedestrian
-77.0308582281314,38.9309697867796,71,{7CFA5131-46DA-44D9-8A13-43C7661422D1},71,Other Walking Issue,2015/06/29 20:37:56+00,Unassigned,7396,This intersection most certainly needs a crosswalk for pedestrians,Pedestrian
-77.0293029645352,38.9205849203804,72,{4E523E86-5090-48E1-8C5F-B10C518E94F5},72,Accessibility Issue,2015/06/29 20:37:57+00,Unassigned,3304,parking lot gate left open every night blocking entire sidewalk,Pedestrian
-76.9949665352773,38.8947987094164,73,{E7F94133-F748-428F-9333-CF05A7E34F91},73,Poor visibility,2015/06/29 20:38:11+00,Unassigned,9107,"This should be a four-way stop. Traveling east on D Street, I can't see traffic coming from the south because of parked cars, and have to inch slowly and dangerously into the intersection and just hope I don't get T-boned.",Car Driver
-77.01756063659,38.8730003670898,74,{18626A9D-EF7C-40C7-94B2-8C47E1DDC15B},74,Failure to stop for pedestrians,2015/06/29 20:38:24+00,Unassigned,2061,"There is a poorly marked crosswalk here and cars rarely stop for pedestrians.  For some reason, cars drive really fast in this stretch probably because it's 4 lanes.  We need at the least better cross-walk signage and a stop for pedestrians sign.",Pedestrian
-77.0365031184505,38.9194378173277,75,{A16795C0-B6F4-462E-8688-43913DA0398E},75,Speeding,2015/06/29 20:38:32+00,Unassigned,6882,,Pedestrian
-76.9874183912795,38.9015835540619,76,{C017F88B-C943-40C2-B884-D1560CBBCD55},76,Failure to stop for pedestrians,2015/06/29 20:38:47+00,Unassigned,6565,"Cars traveling along Florida Ave routinely refuse to stop for pedestrians here, often erratically honking and antagonizing peds.",Pedestrian
-77.0434258723601,38.9155808804934,77,{6A15B134-30EE-4D21-9613-AE9A4F98567D},77,Stop sign running,2015/06/29 20:57:03+00,Unassigned,10008,Cars don't seem to realize this is a 2 way stop and cross traffic doesn't stop.,Biker
-77.0035077278835,38.9140649216679,78,{3B162675-72E5-4FFA-8D76-1ECB4C33A13B},78,Poor visibility,2015/06/29 20:59:49+00,Unassigned,13015,"Very difficult to see around parked cars on east side of 2nd St NE, when turning left onto 2nd from any perpendicular street.",Car Driver
-76.9883622023741,38.9231333446622,79,{E1E338F7-838E-4361-B3FD-B1601595B46A},79,Jaywalking,2015/06/29 20:57:42+00,Unassigned,4605,"Pedestrians regularly cross here at Douglas where there is no crosswalk. I am not suggesting citing pedestrians, but instead would like to see some fix that would allow people to cross safely to the apartment buildings on the east side of Brentwood.",Car Driver
-77.0338985894417,38.9306743510898,80,{140CF5E6-9EA2-4B24-A4D3-D5BBE708CDEA},80,Other Driving Issue,2015/06/29 20:58:03+00,Unassigned,8555,"this road need a bike lane, if you are on a bike cars will pass within inches of you",Biker
-77.0252489778252,38.8942474014397,81,{EF86A552-C795-40DB-9BD7-3746DC6C2522},81,Speeding,2015/06/29 20:42:26+00,Unassigned,8606,,Biker
-77.0229465297844,38.9270935628026,82,{D61DE14E-0937-4307-AFC9-A1270B38D60C},82,Speeding,2015/06/29 20:42:41+00,Unassigned,4509,"cars always speeding, never giving room when passing",Biker
-77.0175578904348,38.8891946636093,83,{C7DBD375-2BFA-47B5-91F4-53FA80402231},83,Other Biking Issue,2015/06/29 20:42:43+00,Unassigned,12516,The bikelanes on 4th St between Madison and Jefferson are too narrow and put cyclists in the dooring zone.,Biker
-77.0877328847177,38.9357961600199,84,{55007D1A-8765-4932-BF67-C51F44CACDD8},84,Not enough time to cross,2015/06/29 20:42:45+00,Unassigned,9240,,Pedestrian
-77.0248089542342,38.8941242423095,85,{C87101DA-4E4F-4433-97F1-8B08FF246FCF},85,Speeding,2015/06/29 20:42:52+00,Unassigned,8606,,Biker
-77.0276073992217,38.8949007250066,86,{25E6AC02-52E3-4C1F-A3C6-D9C124579041},86,Speeding,2015/06/29 20:43:07+00,Unassigned,10736,,Biker
-77.0875411035797,38.9356967926753,87,{DB6B4CA0-32EB-4417-A734-773B6476DC27},87,Blocking the crosswalk,2015/06/29 20:43:20+00,Unassigned,3392,,Pedestrian
-77.0038645615629,38.8898241925877,88,{D38EC290-51B2-408C-AFEF-7C507982A910},88,Other Biking Issue,2015/06/29 20:43:23+00,Unassigned,12094,"The south side door zone bike lane on East Capitol at 2nd is perpetually blocked by a cone, placed there by US Capitol Police explicitly to force cyclists into the general travel lane. (Also, door zone bike lane.)",Biker
-77.0265339772622,38.894606243364,89,{D07FA282-D2FB-4346-AC74-E99D74847359},89,Speeding,2015/06/29 20:43:27+00,Unassigned,8870,,Biker
-77.0117375276548,38.8931854891179,90,{CD0D02D0-72E3-4BE2-87EB-B39D2DD99A19},90,Speeding,2015/06/29 20:43:49+00,Unassigned,3351,,Biker
-77.0555432914588,38.900106687114,91,{CE556787-ACF9-4766-9B10-4B09DF43E2C7},91,Other Biking Issue,2015/06/29 20:43:52+00,Unassigned,937,"There is no safe connection between the well-traveled bike route on the Capital Crescent Trail and Foggy Bottom/rest of DC. VA Ave. has NINE LANES for cars and NOTHING for the hundreds of cyclists that have to brave speeding, lane-changing motorists.",Biker
-77.0170443109686,38.8746685086281,92,{58430646-4EE6-4AC8-8C6A-F98A3ED37C6B},92,Other Walking Issue,2015/06/29 20:43:57+00,Unassigned,4156,Sidewalk deteriorated... I mean really bad.,Pedestrian
-77.0099972309372,38.8944394747642,93,{1FE5EC82-0E03-42A2-9EBB-7AD72C40C079},93,Speeding,2015/06/29 20:44:01+00,Unassigned,3345,,Biker
-77.0877328847177,38.9357961600199,94,{464A356D-B691-4ACA-8659-149EB9650681},94,Red light running,2015/06/29 20:44:07+00,Unassigned,9240,,Pedestrian
-77.0876206978997,38.9359272861843,95,{BC327F58-6AE3-431C-B30A-8B7B161AF05A},95,Failure to stop for pedestrians,2015/06/29 20:44:43+00,Unassigned,6571,,Pedestrian
-77.0175626655309,38.8918012084643,96,{4D157AA7-0D50-4CEB-B960-3718CB0942E6},96,Blocking the bikebox,2015/06/29 20:44:59+00,Unassigned,11684,Drivers frequently enter bike box and crosswalk at this intersection during AM Rush.,Biker
-77.0877328847177,38.9357961600199,97,{077F60B9-E517-4E0C-801D-FF2556AA5108},97,Blocking the bikebox,2015/06/29 20:45:24+00,Unassigned,9240,drivers blocking bike lane,Biker
-77.0231020164387,38.9208713658785,98,{111D3CAE-EA23-41E9-9F0A-7951A2E62944},98,Stop sign running,2015/06/29 20:45:45+00,Unassigned,9706,"drivers hardly ever stop, often go straight from heading east to turning into the mcdonalds parking lot in one fluid swerve",Pedestrian
-77.0005824622058,38.8842848665537,99,{14F872E2-6AA3-4CB7-A89E-76FF012FD82F},99,Stop sign running,2015/06/29 20:45:52+00,Unassigned,10231,"Lots of people make a token rolling stops, if even that, on their way down 4th street (presumably heading towards the freeway onramp).",Pedestrian
-77.0232471556124,38.9208659284938,100,{A2EC194D-4C99-46B6-B58F-441246E99618},100,Speeding,2015/06/29 20:46:02+00,Unassigned,9964,,Pedestrian
-77.0310980757186,38.8997089410423,101,{0BB2AFCE-C037-43BF-89C6-9A00BC084E91},101,Double parking,2015/06/29 20:46:04+00,Unassigned,1140,The east-bound bike lane is always blocked by idling vehicles during rush hour. Totally useless.,Biker
-77.0272010862645,38.9386962382288,102,{E7E8068E-D64D-43F4-B012-81D3A8D2CEBD},102,Poor visibility,2015/06/29 20:46:12+00,Unassigned,3190,I've had cars have a difficult time seeing me on my bike at this particular intersection.,Biker
-77.0197622359817,38.8983182611302,103,{9C848905-06E6-45CC-B459-15F1A2FB8FC6},103,Red light running,2015/06/29 20:46:47+00,Unassigned,3108,Drivers frequently make right on red without regard for traffic heading north on 6th St NW.,Biker
-76.9468719571928,38.8977438511372,104,{B234E5B1-0E6F-45C8-A676-C62C73A6BD47},104,Jaywalking,2015/06/29 20:46:45+00,Unassigned,15360,"many, many, many of people (mostly kids from the high school) jaywalk across the street to get from either the bus bay, metro, or to the school. One child was hit here in this location last year. A mid-block crossing with HAWK signal is needed here.",Pedestrian
-77.0199096223912,38.8993162959953,105,{B48572AF-0EBB-47C1-A06F-27A7C1D5DE04},105,Other Driving Issue,2015/06/29 20:47:30+00,Unassigned,11371,Cars frequently parked here during AM rush hour restictions.,Biker
-77.0877691232006,38.9357538721518,106,{8B66E327-6D0D-443C-96A1-DA4505E3B555},106,Blocking the crosswalk,2015/06/29 20:47:24+00,Unassigned,9240,,Pedestrian
-77.0038645777001,38.8898241925872,107,{D09E50AD-B1F8-410C-AF86-D0051CC80C8E},107,Other Driving Issue,2015/06/29 20:46:47+00,Unassigned,12094,"Cyclists don't stay in the bike lane here, due to permanent blockage by US Capitol Police. On Independence Ave for similar security purposes they've built a parking cove, but not here on East Capitol.",Car Driver
-77.0199112793431,38.8997594845656,108,{7D50697C-BFF2-4E48-954D-3E9A6EFFDA73},108,Jaywalking,2015/06/29 20:48:15+00,Unassigned,11371,Pedestrians frequently cross 6th without regard for the pedestrian signals and remain in the intersection against the right of way.,Biker
-77.0199068295401,38.8943899177175,109,{D47F03D7-95C0-4514-9217-8E30FF48FEE9},109,Jaywalking,2015/06/29 20:49:02+00,Unassigned,6924,Frequent jaywalking at this intersection in the AM.,Biker
-77.0199069364059,38.894801765925,110,{AF6776DF-46B1-4638-95B1-FC23683C5797},110,Jaywalking,2015/06/29 20:49:31+00,Unassigned,5635,Frequent jaywalking at this intersection in the AM.,Biker
-77.0259964993997,38.9205492649987,111,{63B00508-963F-434F-8BC6-12A7257B18A1},111,Stop sign running,2015/06/29 20:49:56+00,Unassigned,53,this whole intersection in such a bizarre mess,Pedestrian
-77.0244101151841,38.9184060123049,112,{9F699B52-B869-43FC-AAE7-1DDA02A3822D},112,Long distance to cross,2015/06/29 20:50:31+00,Unassigned,12940,crossing here is very difficult,Pedestrian
-77.0350667031179,38.9401268511338,113,{C46CDE04-64F9-4132-9A2E-44E9B17CADE8},113,Other Biking Issue,2015/06/29 20:50:31+00,Unassigned,9688,I've seen many drivers honk and be aggresive towards cyclists on this part of  Piney Branch while  I've been running.,Pedestrian
-77.0252242399901,38.9197325843373,114,{34247384-8F81-49A0-98AB-7818E5995325},114,Speeding,2015/06/29 20:50:59+00,Unassigned,3536,,Pedestrian
