objectid,fromdate,geography,latitude,longitude,address,ward_name,nbh_cluster_names,comp_plan_area,total_injuries,total_vehicles,total_bicyclists,total_pedestrians,crash_on_arterial,crash_on_interstate,crash_category,national_park
192956172,2021-01-26,0101000020E61000006AE571BE1C4053C0A9F0FE273A734340,38.900205,-77.001752,301 H STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,0,1.0,0.0,1.0,1,0,MPD Only,0
192712914,2021-01-17,0101000020E6100000CEE3B602BB4153C07CDB468726764340,38.922825,-77.027036,2501 11TH STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,0,0,MPD Only,0
192950838,2021-01-27,0101000020E6100000D44DC28ED24153C0BAB9977212764340,38.922431,-77.028474,1200 CLIFTON STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,1.0,0.0,0.0,0,0,MPD and DCFEMS,0
192956709,2021-01-08,0101000020E61000008D42B9DEC94153C009C9B072BF764340,38.927918,-77.027763,1111 COLUMBIA ROAD NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192955681,2021-01-16,0101000020E61000000A126A1FE73F53C007C2BCB87A6E4340,38.863236,-76.99784,INTERSTATE 295 INTERSTATE BN,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,1,MPD Only,0
192712129,2021-01-06,0101000020E610000026342B14FE3F53C058284A18766E4340,38.862915,-76.999852,INTERSTATE 295 INTERSTATE BN,Ward 8,"Sheridan, Barry Farm, Buena Vista",LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,1,0.0,0.0,0.0,0,1,MPD and DCFEMS,0
192713378,2021-01-29,0101000020E61000008D1ADC92FB3F53C03A46EDA5776E4340,38.863031,-76.999733,INTERSTATE 295 INTERSTATE BN,Ward 8,"Sheridan, Barry Farm, Buena Vista",LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,2.0,0.0,0.0,0,1,MPD Only,0
192712688,2021-01-03,0101000020E61000005F423621EE3F53C0CFCDDFA3726E4340,38.862369,-76.997739,SUITLAND PARKWAY SE & FIRTH STERLING AVENUE SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,1,MPD Only,0
192956141,2021-01-21,0101000020E610000021B2AE28C84153C078F82FD44E7B4340,38.963146,-77.027855,6001 GEORGIA AVENUE NW,Ward 4,"Takoma, Brightwood, Manor Park",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955507,2021-01-28,0101000020E6100000230E6E5BC94153C0B0865B36317B4340,38.962103,-77.02794,5929 GEORGIA AVENUE NW,Ward 4,"Takoma, Brightwood, Manor Park",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712687,2021-01-03,0101000020E6100000DA20DC9ECA4153C0BD4F5284127B4340,38.961577,-77.028371,5900 GEORGIA AVENUE NW,Ward 4,"Takoma, Brightwood, Manor Park",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712728,2021-01-06,0101000020E61000004A73AD59BA4153C03D945E115D7B4340,38.963772,-77.026534,905 QUACKENBOS STREET NW,Ward 4,"Takoma, Brightwood, Manor Park",ROCK CREEK EAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192956562,2021-01-02,0101000020E6100000B5272FBDBB4153C0CCA4D0073A7B4340,38.963146,-77.027855,6001 GEORGIA AVENUE NW,Ward 4,"Takoma, Brightwood, Manor Park",ROCK CREEK EAST,0,3.0,0.0,0.0,0,0,MPD Only,0
192713421,2021-01-31,0101000020E61000000C3F86B62D4053C0417CF03DCE6B4340,38.842523,-77.000831,3200 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955533,2021-01-22,0101000020E61000001660548C394053C0D08D5206B16B4340,38.841332,-77.00351,MARTIN LUTHER KING JR AVENUE SE & HIGHVIEW PLACE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956151,2021-01-25,0101000020E61000007098D1583C4153C0A7334E81DB784340,38.944191,-77.019306,5TH STREET NW & WEBSTER STREET NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192713036,2021-01-30,0101000020E6100000003D74F8894153C053C2C2BF20744340,38.907239,-77.02435,903 N STREET NW,Ward 2,"Shaw, Logan Circle",NEAR NORTHWEST,0,3.0,0.0,0.0,1,0,MPD and DCFEMS,0
192713073,2021-01-30,0101000020E61000008D0BF4B0884153C0D49DF03532744340,38.907776,-77.023467,1317 9TH STREET NW,Ward 2,"Shaw, Logan Circle",NEAR NORTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192713250,2021-01-30,0101000020E6100000C630E4008F4153C020B788A520744340,38.907239,-77.02435,903 N STREET NW,Ward 2,"Shaw, Logan Circle",NEAR NORTHWEST,0,2.0,0.0,0.0,0,0,MPD and DCFEMS,0
192712724,2021-01-07,0101000020E610000031C2352F664153C01E26D7D247754340,38.916443,-77.02231,705 FLORIDA AVENUE NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192713045,2021-01-30,0101000020E6100000F67A4A6B624153C00C94FF9544754340,38.915508,-77.02011,600 FLORIDA AVENUE NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,1.0,0.0,1.0,1,0,MPD and DCFEMS,0
192956495,2021-01-24,0101000020E610000077E6A126674153C0A4D1D7DC1D754340,38.915054,-77.021919,1839 7TH STREET NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192713388,2021-01-29,0101000020E6100000069C7B0A8D4153C02AFC8EB131754340,38.915572,-77.024231,902 T STREET NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,2.0,0.0,0.0,0,0,MPD Only,0
192955663,2021-01-16,0101000020E610000097E38F6C3B4253C0B044FFE6DE764340,38.928744,-77.033643,1400 IRVING STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192956924,2021-01-04,0101000020E61000003C8404BB884153C053A9953C53754340,38.916541,-77.023968,1933 9TH STREET NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,1.0,0.0,0.0,1,0,MPD Only,0
192712141,2021-01-07,0101000020E6100000303D39CB574253C013E873CBDF764340,38.928709,-77.036837,1601 IRVING STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,1.0,0.0,0.0,1,0,MPD Only,0
192956984,2021-01-30,0101000020E61000003F9D0D36684253C031F8155CE1764340,38.928476,-77.037652,1630 IRVING STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192955488,2021-01-27,0101000020E6100000432E6AC3863F53C04C6F7915696E4340,38.862425,-76.992874,2418 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956754,2021-01-05,0101000020E6100000C928D4B4273F53C0B3CC745D866D4340,38.855655,-76.986796,2907 STANTON ROAD SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192955405,2021-01-09,0101000020E61000002E068533703F53C0D04F1675816E4340,38.863318,-76.991221,MARTIN LUTHER KING JR AVENUE SE & MORRIS ROAD SE,Ward 8,Historic Anacostia,FAR SOUTHEAST AND SOUTHWEST,1,1.0,0.0,1.0,1,0,MPD and DCFEMS,0
192955542,2021-01-21,0101000020E610000037B02F476B3F53C029AEE4C4866E4340,38.863554,-76.990784,2228 MARTIN LUTHER KING JR AVENUE SE,Ward 8,Historic Anacostia,FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956575,2021-01-02,0101000020E6100000CDA1D689833F53C08F488C946C6E4340,38.862681,-76.992401,2400 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192956677,2021-01-11,0101000020E61000004F2EDF88833F53C05D169B956C6E4340,38.862681,-76.992401,2400 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,1.0,0.0,0.0,1,0,MPD Only,0
192712948,2021-01-16,0101000020E610000018EA450B323B53C0C1BC9B200B714340,38.883146,-76.924939,5341 D STREET SE,Ward 7,"Capitol View, Marshall Heights, Benning Heights",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192713372,2021-01-29,0101000020E6100000E83314E3594053C0F4B2A4A0507A4340,38.954717,-77.006387,33 RIGGS ROAD NE,Ward 4,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",UPPER NORTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956078,2021-01-20,0101000020E6100000488289A50E3F53C06E79C48FE26E4340,38.866688,-76.984659,1918 14TH STREET SE,Ward 8,Historic Anacostia,FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192956856,2021-01-15,0101000020E6100000BFCBBDCD914053C0D6B7C5BF377A4340,38.954343,-77.008441,11 RIGGS ROAD NE,Ward 4,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",UPPER NORTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712770,2021-01-09,0101000020E6100000846155A5143F53C0C2BC3584BA6E4340,38.865582,-76.98548,2001 14TH STREET SE,Ward 8,Historic Anacostia,FAR SOUTHEAST AND SOUTHWEST,0,1.0,0.0,0.0,0,0,MPD and DCFEMS,0
192712939,2021-01-18,0101000020E610000077267BD5EC3E53C0FD0647478E6E4340,38.86371,-76.983203,1515 W STREET SE,Ward 8,Historic Anacostia,FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192955617,2021-01-10,0101000020E6100000DB778530A33F53C0E07761D2296E4340,38.862381,-76.99502,1101 HOWARD ROAD SE,Ward 8,"Sheridan, Barry Farm, Buena Vista",FAR SOUTHEAST AND SOUTHWEST,0,1.0,0.0,0.0,1,1,MPD Only,0
192712474,2021-01-08,0101000020E6100000FECD10F05C3C53C0933E168DE4714340,38.890062,-76.942595,4200 EAST CAPITOL STREET NE,Ward 7,"River Terrace, Benning, Greenway, Dupont Park",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712735,2021-01-08,0101000020E61000008FD259951C3B53C09C9B0E3DB9714340,38.888458,-76.923617,42 54TH ST SE,Ward 7,"Capitol View, Marshall Heights, Benning Heights",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192713121,2021-01-30,0101000020E61000009E1ECE39D53F53C058A7E01F2C6C4340,38.845089,-76.997103,601 MALCOLM X AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955616,2021-01-10,0101000020E6100000303519B0D43F53C05B0152AB2D6C4340,38.845089,-76.99761,2931 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192712742,2021-01-12,0101000020E6100000EEB22F47CF4053C079984350FB734340,38.906053,-77.012784,NEW YORK AVENUE NW,Ward 5,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",NEAR NORTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955593,2021-01-22,0101000020E61000003DC9A8F4D83F53C08AA77F4F226C4340,38.844588,-76.997452,3014 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712993,2021-01-04,0101000020E61000001CB4B72F603F53C0E31683B4BA704340,38.88069,-76.990243,700 12TH STREET SE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,0,2.0,0.0,0.0,0,0,MPD Only,0
192952803,2021-01-26,0101000020E61000008AB80689633F53C0FA980B63966A4340,38.832523,-76.990304,903 BARNABY STREET SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192956020,2021-01-27,0101000020E6100000F8306803C74053C0C3A1EE0B01744340,38.906269,-77.01216,1ST STREET NW & NEW YORK AVENUE NW,Ward 6,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",NEAR NORTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955659,2021-01-15,0101000020E610000080D211AE963F53C00CC65438636B4340,38.84068,-76.993119,3400 WHEELER ROAD SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192713148,2021-01-25,0101000020E6100000F776EC4B653F53C067B5B5A4936A4340,38.832787,-76.990345,910 BARNABY STREET SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956667,2021-01-08,0101000020E6100000921A9170683F53C05316D4472B6A4340,38.829095,-76.991186,SOUTHERN AVENUE SE & CHESAPEAKE STREET SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192955671,2021-01-16,0101000020E6100000034E2C539C3E53C00D8D3139E5714340,38.890927,-76.979684,1700 EAST CAPITOL STREET NE,Ward 6,"Capitol Hill, Lincoln Park",CAPITOL HILL,0,2.0,0.0,0.0,0,0,MPD Only,0
192712738,2021-01-13,0101000020E6100000D9326D618D4153C098271862D0774340,38.934412,-77.024007,3600 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,1.0,0.0,0.0,1,0,MPD Only,0
192712107,2021-01-02,0101000020E6100000593E85C53F4453C0043407E37C774340,38.933491,-77.06639,MACOMB STREET NW & 34TH STREET NW,Ward 3,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",ROCK CREEK WEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712482,2021-01-08,0101000020E6100000F989BD29864153C007D26AD76F774340,38.932,-77.024084,3400 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192956675,2021-01-11,0101000020E61000002C9DF7FE854153C0B4C9285B6D774340,38.933017,-77.023801,PARK ROAD NW & GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192712893,2021-01-18,0101000020E61000004EAF93CDC33E53C0D2A9F6E557724340,38.893171,-76.980763,1703 C ST NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,0,2.0,0.0,0.0,1,0,MPD Only,0
192712744,2021-01-13,0101000020E6100000097ABABC6F3F53C03F3A5BC6BF774340,38.93489,-76.991188,3700 12TH STREET NE,Ward 5,"North Michigan Park, Michigan Park, University Heights",UPPER NORTHEAST,0,1.0,0.0,1.0,1,0,MPD Only,0
192956072,2021-01-20,0101000020E61000001DFD72A8C43E53C0A29ACAE657724340,38.893228,-76.980751,1709 C STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,0,2.0,0.0,0.0,1,0,MPD Only,0
192713076,2021-01-30,0101000020E6100000F4A84DAC144453C0496B02EC3F744340,38.908293,-77.063812,1420 WISCONSIN AVENUE NW,Ward 2,"Georgetown, Burleith/Hillandale",NEAR NORTHWEST,0,1.0,1.0,0.0,1,0,MPD and DCFEMS,0
192712930,2021-01-18,0101000020E610000083788B1CCD3A53C06A7DE0A4E3714340,38.890145,-76.919319,5700 EAST CAPITOL STREET NE,Ward 7,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956234,2021-01-05,0101000020E6100000070FBEFDF34053C041990C5A6F744340,38.909641,-77.014889,242 P STREET NW,Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington",NEAR NORTHWEST,0,4.0,0.0,0.0,0,0,MPD Only,0
192956948,2021-01-04,0101000020E6100000FAFE50F35C3E53C0D90086ED03734340,38.899111,-76.975311,1922 BENNING ROAD NE,Ward 7,"Ivy City, Arboretum, Trinidad, Carver Langston",CAPITOL HILL,0,2.0,0.0,0.0,1,0,MPD Only,0
