walkscore,bikescore,transitscore,near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,crimeid,reportdate,fromdate,todate,address,latitude,longitude,bicycle_injuries,vehicle_injuries,pedestrian_injuries,total_injuries,total_major_injuries,total_minor_injuries,bicycle_fatalities,pedestrian_fatalities,vehicle_fatalities,drivers_impaired,drivers_speeding,total_vehicles,total_bicyclists,total_pedestrians,drivers_over_65,drivers_under_25,peds_over_65,peds_under_12,bikers_over_65,bikers_under_18,oos_vehicles,num_cars,num_suvs_or_trucks,driver_tickets,bicycle_tickets,ped_tickets,persontype_array,invehicletype_array,licenseplatestate_array,intapproachdirection,locationerror,lastupdatedate,blockkey,subblockkey,geography,pp_agency_incident_id,pp_total_injuries,pp_total_minor_injuries,pp_total_major_injuries,pp_call_time_rank,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,195871241,26845569,2016-02-08 16:20:12+00:00,2016-02-08,1970-01-01,"OREGON AVENUE NW & MILITARY ROAD NW
",38.961603,-77.052683,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Pickup Truck']","['MD', 'VA']",Northeast,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,195882450,28022900,2019-04-26 21:52:51+00:00,2019-04-26,1970-01-01,MILITARY ROAD NW & OREGON AVENUE NW,38.961603,-77.052683,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['VA', 'MD']",Northeast,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 41,Rock Creek Park,3G02,Ward 4,001301,ROCK CREEK WEST,195876317,28280104,2020-01-08 05:46:23+00:00,2020-01-07,1970-01-01,BEACH DRIVE NW & MILITARY ROAD NW,38.961474,-77.043249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,['Driver'],['Passenger Car/automobile'],['MD'],Southwest,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,a47a6b790ebc297b38109a05fdb50a87,0101000020E6100000FBA5E3F9E04253C0E8FA4A41F67A4340,,,,,1,3.97e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
4.00,19.00,42.00,[None],,,,,,3G,Cluster 41,Rock Creek Park,3G02,Ward 4,001301,ROCK CREEK WEST,195879167,27679810,2018-05-18 23:28:17+00:00,2018-05-18,1970-01-01,2607 MILITARY ROAD NW,38.96281,-77.05459,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'MD']",East,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,a47a6b790ebc297b38109a05fdb50a87,0101000020E610000047BDDA06E74253C08516B2F4F27A4340,,,,,1,0.00036324,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
4.00,47.00,20.00,[None],,,,,,6D,Cluster 45,"National Mall, Potomac River",6D05,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,195769536,28337720,2020-03-05 16:00:56+00:00,2020-03-05,1970-01-01,900 OHIO DRIVE SW,38.880984,-77.032517,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"['Bicyclist', 'Driver']","['None', 'Suv (sport Utility Vehicle)']","[' None', 'VA']",North,,1970-01-01 00:00:00+00:00,260d356f92171dfc534fc69314831f86,bf0be50d456df7d3cafe57fa3cff12e2,0101000020E6100000F8D9C1B56E4153C0DAC92B9B0D6F4340,,,,,1,0.00016501,,2,54,2,,OB,0,,25.0,19.0,,OHIO DR SW,135313,Local,,,,,,
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195676609,28166968,2019-09-16 23:02:53+00:00,2019-09-16,1970-01-01,2800 DAVENPORT STREET NW,38.953391,-77.056847,0,2,0,2,0,2,0,0,0,0,0,2,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC']",East,,1970-01-01 00:00:00+00:00,0e84f66f741625e2abd9583908083b7d,0e84f66f741625e2abd9583908083b7d,0101000020E6100000712B1B629A4353C026597E72147A4340,,,,,1,0.0,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,127463,Collector,0.0,13341,REGULAR,"['Collector', 'Local']","['125478', '127463', '128996', '129685']","['BROAD BRANCH ROAD NW', 'DAVENPORT STREET NW', 'GRANT ROAD NW']"
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195681833,27573632,2018-02-01 16:16:21+00:00,2018-02-01,1970-01-01,4660 BROAD BRANCH ROAD NW,38.951984,-77.054778,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,"['Driver', 'Driver']","['Other Vehicle', 'Passenger Car/automobile']","['MD', 'MD']",Southeast,,1970-01-01 00:00:00+00:00,91df80e1745aec91fe945dfd7d2df003,9e4b371aece2cf4af1734f9bfca8f8ed,0101000020E61000003CB2D41E804353C02566C57DDC794340,,,,,1,0.0002228,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,129685,Collector,,,,,,
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195753244,28074584,2019-06-16 07:12:30+00:00,2019-06-16,1970-01-01,BROAD BRANCH RD & BRANDYWINE ST,38.950358,-77.052981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,['Driver'],['Passenger Car/automobile'],['MD'],East,,1970-01-01 00:00:00+00:00,91df80e1745aec91fe945dfd7d2df003,ff02892cfd4e86bd20c39b0b1c036ab3,0101000020E610000032D53015644353C00541389AA5794340,,,,,1,0.0,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,126948,Collector,0.00050993,19237,REGULAR,['Collector'],"['126948', '129202', '129685']","['BRANDYWINE STREET NW', 'BROAD BRANCH ROAD NW']"
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195780747,26944495,2016-05-17 09:54:13+00:00,2016-05-17,1970-01-01,4600 BROAD BRANCH ROAD NW,38.950876,-77.053371,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"['Passenger', 'Passenger', 'Driver', 'Passenger']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['MD', 'MD', 'MD', 'MD']",North,,1970-01-01 00:00:00+00:00,91df80e1745aec91fe945dfd7d2df003,9e4b371aece2cf4af1734f9bfca8f8ed,0101000020E610000039D51CFB654353C0A0CF0D8CB5794340,,,,,1,0.00041503,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,129685,Collector,,,,,,
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195792346,28415635,2020-05-22 13:20:15+00:00,2020-05-22,1970-01-01,BROAD BRANCH ROAD NW & BRANDYWINE STREET NW,38.950359,-77.052981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"['Passenger', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['CT', 'CT']",Northwest,,1970-01-01 00:00:00+00:00,f3ecf963a52e96dd0e9b3482abeea7d5,b5f8843673c8b876b77fb05af1aaa7d3,0101000020E61000003F14493C564353C07F2DCAD988794340,,,,,1,0.0,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,126948,Collector,,,,,,
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195838961,27699506,2018-06-07 12:01:28+00:00,2018-06-07,1970-01-01,DAVENPORT STREET NW & BROAD BRANCH ROAD NW,38.953742,-77.056296,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"['Driver', 'Bicyclist']","['Passenger Car/automobile', 'Other Vehicle']","['Un', 'Un']",Southeast,,1970-01-01 00:00:00+00:00,91df80e1745aec91fe945dfd7d2df003,b3ca18a4a993843e120e44625bd32096,0101000020E61000009EBE5DF4994353C083F62E09147A4340,,,,,1,0.00023272,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,129685,Collector,2.6619569,13341,REGULAR,"['Collector', 'Local']","['125478', '127463', '128996', '129685']","['BROAD BRANCH ROAD NW', 'DAVENPORT STREET NW', 'GRANT ROAD NW']"
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195841964,27508661,2017-11-29 16:15:40+00:00,2017-11-29,1970-01-01,2900 GRANT ROAD NW,38.953694,-77.056194,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['Driver'],['Motor Cycle'],[' None'],North,,1970-01-01 00:00:00+00:00,0e84f66f741625e2abd9583908083b7d,0e84f66f741625e2abd9583908083b7d,0101000020E6100000F163173A9A4353C0DDE1F5F4147A4340,,,,,1,6.226e-05,,2,21,0,Yes,BD,0,,25.0,19.0,,GRANT RD NW,125478,Local,1.9144248,13341,REGULAR,"['Collector', 'Local']","['125478', '127463', '128996', '129685']","['BROAD BRANCH ROAD NW', 'DAVENPORT STREET NW', 'GRANT ROAD NW']"
5.00,12.00,42.00,[None],,,,,,3F,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",3F03,Ward 3,001301,ROCK CREEK WEST,195891354,28685857,2021-02-16 22:57:04+00:00,2021-02-11,1970-01-01,2801 DAVENPORT STREET NW,38.95354,-77.056789,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"['Driver', 'Passenger', 'Driver', 'Passenger']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC', 'DC', 'DC']",East,,2021-02-18 15:35:52+00:00,0e84f66f741625e2abd9583908083b7d,0e84f66f741625e2abd9583908083b7d,0101000020E6100000712B1B629A4353C026597E72147A4340,,,,,1,0.0,3419.0,2,19,0,Yes,BD,0,,20.0,17.0,,BROAD BRANCH RD NW,129685,Collector,0.0,13341,REGULAR,"['Collector', 'Local']","['125478', '127463', '128996', '129685']","['BROAD BRANCH ROAD NW', 'DAVENPORT STREET NW', 'GRANT ROAD NW']"
5.00,12.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001301,ROCK CREEK WEST,195840256,28044155,2019-05-18 03:53:17+00:00,2019-05-17,1970-01-01,BEACH DRIVE NW,38.948349,-77.04497,0,2,0,2,0,2,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['Passenger', 'Driver']","['Passenger Van', 'Passenger Van']","['VA', 'VA']",Southeast,,1970-01-01 00:00:00+00:00,5ec27f6b6dcdabf69c6a207866d0d96c,5ec27f6b6dcdabf69c6a207866d0d96c,0101000020E6100000D73FF518164353C09F3578C675794340,,,,,1,0.00028202,,2,21,0,Yes,BD,0,,25.0,19.0,,RIDGE RD NW,130944,Local,,,,,,
6.00,32.00,43.00,[None],,,,,,3F,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3F03,Ward 3,001500,ROCK CREEK WEST,195882057,28263900,2019-12-22 23:17:33+00:00,2019-12-22,1970-01-01,2607 MILITARY ROAD NW,38.962805,-77.054585,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"['Driver', 'Driver', 'Passenger']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC', 'DC']",Northeast,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000009809377B5C4353C0E121BA0B187B4340,,,,,1,0.00017277,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
6.00,32.00,43.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001500,ROCK CREEK WEST,195663571,28239803,2019-11-28 22:26:18+00:00,2019-11-28,1970-01-01,2607 MILITARY ROAD NW,38.962805,-77.054585,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'MD']",East,,1970-01-01 00:00:00+00:00,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000001698EF39474353C09017BB2A217B4340,,,,,1,0.00021926,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
