"search_term","search_term_id","convo_group_id","tweet_id","tweet_text","tweet_place","reply_to_status","quoted_status","created_at","user_id","user_screen_name","user_location","coordinates","user_place"
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1323093143940747269","1323093143940747269","Bruh I just saw some dude get hit by a car at one of those “banger” meets in beltsville 🤦🏻 bunch of hot boys smh","{'id': '6417871953fa5e86', 'url': 'https://api.twitter.com/1.1/geo/id/6417871953fa5e86.json', 'place_type': 'city', 'name': 'Silver Spring', 'full_name': 'Silver Spring, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.064086, 38.979735], [-77.064086, 39.036964], [-76.97162, 39.036964], [-76.97162, 38.979735]]]}, 'attributes': {}}","","","2020-11-02 02:42:42+00:00","461196690","Mk7_cruz","Maryland ","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1322326446199742465","1322326446199742465","@xhelloxdarlingx This is a lie. The little drug addict jerk was on the sidewalk with his moped. Got hit by a car . Get it right","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","1322151434100613122","","2020-10-30 23:56:07+00:00","2647031570","mcv0221","Washington DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1322151434100613122","1322151434100613122","@DCPoliceDept MURDERS https://t.co/CTDKfBNJw2","","1321889268315336705","","2020-10-30 12:20:40+00:00","1077936407761567748","xhelloxdarlingx","𝚍𝚎𝚟𝚒𝚕’𝚜 𝚛𝚎𝚍 𝚛𝚘𝚘𝚖","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1321889268315336705","1321889268315336705","MPD would like to inform the public of street closures in reference to First Amendment demonstrations that are scheduled to occur on 11/3/20-11/4/20 in the District. 

For information, please visit our website: https://t.co/GbarNKkBqJ https://t.co/RPxUDVKU82","","","","2020-10-29 18:58:55+00:00","285198536","DCPoliceDept","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1322257992029474817","1322257992029474817","This does not happen. Kids are WAY WAY more likely to be hit by a car on Halloween than to receive someone’s (expensive) edibles as candy for some reason (which, again, LITERALLY NEVER HAPPENS) https://t.co/xQ7h0uwkZg","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","1322151365708304384","2020-10-30 19:24:06+00:00","23390465","ZZZZach89","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1322151365708304384","1322151365708304384","Halloween candy and marijuana edibles can look similar, so Indiana State Police are sharing safety tips so parents can  look out.​ https://t.co/S2pcJYpgTV","","","","2020-10-30 12:20:24+00:00","17028405","ABC7Chicago","Chicago, Illinois","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1321442920751398916","1321442920751398916","What happened to #KaronHylton is deeply disturbing. A young black man, who was hit by an MPD car that was pursuing him, called a John Doe when they knew his name, and taken off of life support without his family’s consent. My heart hurts for his loved ones.","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-10-28 13:25:18+00:00","60718099","edlazere","Washington DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1317541448422727682","1317541448422727682","Just watched 4 teens boldly, casually walk *diagonally* across busy intersection in Arlington by Costco. Didn’t look around themselves even once. Cars were so stunned they didn’t even honk. I got whiplash from looking l-r-l-r seeing which car would hit them first. Deep breaths...","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]}, 'attributes': {}}","","","2020-10-17 19:02:14+00:00","3387851020","BradleyDeanC","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1317086958179463168","1317086958179463168","Yesterday morning after work. 6:57, couldn’t even get off good before I was hit by a driver running his red light. I don’t have no testimony. I’m just Thankful I was able to walk away with just a busted lip. ✅💙🔥 https://t.co/dmVbCCYhod","{'id': '00da23b51c3aabc1', 'url': 'https://api.twitter.com/1.1/geo/id/00da23b51c3aabc1.json', 'place_type': 'city', 'name': 'Suitland', 'full_name': 'Suitland, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-76.958123, 38.827518], [-76.958123, 38.868794], [-76.88434, 38.868794], [-76.88434, 38.827518]]]}, 'attributes': {}}","","","2020-10-16 12:56:15+00:00","355712339","DashiaJae","Maryland, USA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1315019792613597188","1315019792613597188","@thepugdc Frig. We saw it taped after but didn’t know it was that bad. It was at that one house... We were setting up birthday cake when it hit the fan. Called it in as a man and car ran out the alley by us.","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","1315018714912260101","","2020-10-10 20:02:05+00:00","127353047","kebursaw","Washington, D.C.","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1315018714912260101","1315018714912260101","@kebursaw Double homicide I heard.","","1315018613808656385","","2020-10-10 19:57:48+00:00","36673134","thepugdc","1234 H St. NE","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1315018613808656385","1315018613808656385","@thepugdc You missed the 15 shots down the street","","1315018228721123329","","2020-10-10 19:57:24+00:00","127353047","kebursaw","Washington, D.C.","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1315018228721123329","1315018228721123329","Picked a good weekend to skip town.","","","","2020-10-10 19:55:52+00:00","36673134","thepugdc","1234 H St. NE","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1314568032858132481","1314568032858132481","@StephanRBarnard Rolled a car, got hit by car on bike (30 days in hospital), cancer (lots of radiation treatment)","{'id': '6417871953fa5e86', 'url': 'https://api.twitter.com/1.1/geo/id/6417871953fa5e86.json', 'place_type': 'city', 'name': 'Silver Spring', 'full_name': 'Silver Spring, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.064086, 38.979735], [-77.064086, 39.036964], [-76.97162, 39.036964], [-76.97162, 38.979735]]]}, 'attributes': {}}","1314543535488749570","","2020-10-09 14:06:57+00:00","3960118295","Jezzrow22","Silver Spring, MD","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1314543535488749570","1314543535488749570","How many times have you nearly died?  🤔","","","","2020-10-09 12:29:36+00:00","467705283","StephanRBarnard","Midwest USA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1312886113619578885","1312886113619578885","@MagicalOverload Hit by a car while riding a bicycle 🚲 ... coma-25 day hospital stay... tbi...ptsd ..etc","{'id': '6417871953fa5e86', 'url': 'https://api.twitter.com/1.1/geo/id/6417871953fa5e86.json', 'place_type': 'city', 'name': 'Silver Spring', 'full_name': 'Silver Spring, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.064086, 38.979735], [-77.064086, 39.036964], [-76.97162, 39.036964], [-76.97162, 38.979735]]]}, 'attributes': {}}","1312761463392567300","","2020-10-04 22:43:36+00:00","3960118295","Jezzrow22","Silver Spring, MD","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1312761463392567300","1312761463392567300","Do you have a scar? How did you get it?","","","","2020-10-04 14:28:17+00:00","1194044247340670977","MagicalOverload","","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1311867259464318978","1311867259464318978","What if you got hit by a bus? Or get the ultra-deadly #COVID19 #Coronavirus?

How To Taking Care of the Code You Created… Your legacy.

https://t.co/U4XoklhoyZ #SoftwareDevelopment #Dev #Programming #Coding #Data","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-10-02 03:15:02+00:00","19123904","Joseph_Santoro","Washington, DC 20009","{'type': 'Point', 'coordinates': [-77.02533793, 38.93947729]}",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1311027401275604994","1311027401275604994","I’m not saying I’d rather get hit by a truck then watch tonight’s debate; I’m just saying I’d have to think long and hard about it","{'id': '864ff125241f172f', 'url': 'https://api.twitter.com/1.1/geo/id/864ff125241f172f.json', 'place_type': 'city', 'name': 'Bethesda', 'full_name': 'Bethesda, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.158594, 38.940225], [-77.158594, 39.022449], [-77.078411, 39.022449], [-77.078411, 38.940225]]]}, 'attributes': {}}","","","2020-09-29 19:37:44+00:00","218194314","Vanderhooooov","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1310999178651348993","1310999178651348993","@redbull my car was hit by one of your trucks on Spring Road &amp; 14th St NW intersection this morning. They didn’t even leave a note or come back to check. Waiting for you guys to get in contact with me to solve this. This is so frustrating 🤦🏻 https://t.co/ySf9DjygIc","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-09-29 17:45:36+00:00","45397705","allanyurisouza","Rockville, MD","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1309456710231351296","1309456710231351296","The number of people in the replies defending the driver and showing zero empathy for the person who was HIT BY A TRUCK has finally destroyed my faith in humanity.

Burn it all down. 
Humanity was a mistake. https://t.co/vSOHufI2q7","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]}, 'attributes': {}}","","1309347382308401153","2020-09-25 11:36:22+00:00","16599131","JaydeColer","Arlington, VA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1309347382308401153","1309347382308401153","Content warning. Protesters get struck by car during Hollywood march/protest #losangeles #protest #hollywood https://t.co/MJfParkHsS","","","","2020-09-25 04:21:57+00:00","1238141662284546050","jessicarayerog1","Los Angeles, CA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1308583104848814082","1308583104848814082","@BikeGillian @KeySchoolAPS @ArlingtonDES My @APSVirginia daughter was hit by a car while trying to catch her @APSSchoolBus at this very intersection. 10 years later at least 4 more people hurt here... thanks for trying @BikeGillian hope you have better luck than I did! 😭 Slow down!","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]}, 'attributes': {}}","1308059774714609664","","2020-09-23 01:44:59+00:00","104273153","pondfamily","Arlington, VA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1308059774714609664","1308059774714609664","This reminds me: @KeySchoolAPS needs a 4-way stop at Key &amp; Adams. Children have been hit crossing Key here. We had been told no more stops on Key

But a stop was added at Danville. 

So @ArlingtonDES - can we add that stop at Adams? https://t.co/LdmQBt9MDu","","","1308059163302469632","2020-09-21 15:05:27+00:00","386884187","BikeGillian","Arlington, VA","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1308059163302469632","1308059163302469632","Improvements are coming for people walking or biking near Glebe Elementary School:
🛑 4-way stop at 18th &amp; Wakefield w/ new curb ramps, crosswalk upgrades
👟 new sidewalk on south side of Glebe Elementary driveway and 18th St between Glebe &amp; Wakefield

https://t.co/xZgCeviNIk","","","","2020-09-21 15:03:01+00:00","87512185","BikeArlington","Arlington, Virginia","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306035973613068289","1306035973613068289","Sure. On my AM commute last fall I was stopped at the traffic signal at N. Glebe RD &amp; Williamsburg Blvd (Arlington). The light turned green. I made the left turn and two cyclist passed thru the red light. I hit my breaks. They didn’t stop. They missed my car by a few feet. https://t.co/P52f9WQDGV","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]}, 'attributes': {}}","","1306033761683935234","2020-09-16 01:03:35+00:00","28015889","wingeds","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306033761683935234","1306033761683935234","@wingeds What makes you think cyclists feel it's beneath them? (IOW, would you like to rephrase this based on things you can actually prove.)","","1306026797839114240","","2020-09-16 00:54:48+00:00","148072399","Wash_cycle","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306026797839114240","1306026797839114240","Why yes I do. Since those would be cross walks.  Since I have your attention can you tell my why most cyclist feels it’s beneath them to not follow posted street signs. These are for everyone’s benefit. They keep us all safe, but only if we all obey them. 😷 https://t.co/lxfAvWvMXY","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]}, 'attributes': {}}","","1306025700772765696","2020-09-16 00:27:08+00:00","28015889","wingeds","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306025700772765696","1306025700772765696","@wingeds Do you stop at every stop sign when walking?","","1306023640077606912","","2020-09-16 00:22:46+00:00","148072399","Wash_cycle","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306023640077606912","1306023640077606912","I can’t disagree more. Traffic signs are there to control all traffic regardless of the mode of transportation. But honestly, most cyclists I observe don’t stop for traffic signs anyway. I can say this since I’m both a motorist &amp; a cyclist. 😷 https://t.co/nXSctlUCYf","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]}, 'attributes': {}}","","1306022942531366912","2020-09-16 00:14:35+00:00","28015889","wingeds","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306022942531366912","1306022942531366912","@wingeds Counterintuitively, the research shows it might actually make things safer.","","1306015376266989568","","2020-09-16 00:11:48+00:00","148072399","Wash_cycle","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1306015376266989568","1306015376266989568","This is ridiculous &amp; unsafe. https://t.co/QfWNFM9xEk","{'id': '319ee7b36c9149da', 'url': 'https://api.twitter.com/1.1/geo/id/319ee7b36c9149da.json', 'place_type': 'city', 'name': 'Arlington', 'full_name': 'Arlington, VA', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]}, 'attributes': {}}","","1305967275044896769","2020-09-15 23:41:44+00:00","28015889","wingeds","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1305967275044896769","1305967275044896769","New law lets Washington cyclists treat stop signs as yield signs. It’s not a crazy idea https://t.co/ByynnhjJJE","","","","2020-09-15 20:30:36+00:00","148072399","Wash_cycle","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1305247313141682176","1305247313141682176","I don’t want to hear anything about injuries to Philadelphia. They were up 17 points and then got hit by a truck. Sometimes you have to tip your hat and give credit where credit is due. The Washington Football Team was as impressive in the second half as they have ever been.","{'id': '0a64096c3dd76000', 'url': 'https://api.twitter.com/1.1/geo/id/0a64096c3dd76000.json', 'place_type': 'poi', 'name': 'FedEx Field', 'full_name': 'FedEx Field', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-76.863417, 38.907456], [-76.863417, 38.907456], [-76.863417, 38.907456], [-76.863417, 38.907456]]]}, 'attributes': {}}","","","2020-09-13 20:49:44+00:00","37460358","LakeLewis","SportsJourney.com","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1305224912542617601","1305224912542617601","Bike messenger hit by a truck on 14th St NW at T Street. @DCPoliceDept are here; bike is totaled. Rider is roughed up but talking/walking. CAR pulled out of Trader Joe’s &amp; blocked bike lane, rider forced into street and cars crowded him. #bikedc @RandyDaleDowns @CMBrookePinto","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-09-13 19:20:43+00:00","169991577","JesseBinDC","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1305132022701096961","1305132022701096961","Almost got hit by a car trying to get away from a dead rat on the sidewalk. Never seen rats this big until I moved to DC. And rats can survive anything so I didn’t need him rising from the dead just as I’m walking by😩","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-09-13 13:11:37+00:00","829766715550597122","BettyGentle","Washington, DC","",""
