walkscore,bikescore,transitscore,near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,agency_id,incident_id,scrape_datetime,call_received_datetime,call_closed_datetime,fulldisplayaddress,longitude,latitude,incident_type,unit,unit_status_transport,transport_unit_is_amr,transport_unit_is_non_amr,unit_json,num_units_responding,geography,unit_ids,agency_incident_id,crash_objectid,crash_geo,crash_total_injuries,crash_total_major_injuries,crash_total_minor_injuries,crash_total_fatalities,crash_bike_injuries,crash_car_injuries,crash_ped_injuries,injuries_mismatch,distance_to_crash,time_between_crash_and_report,crash_intersection_id,crash_block_objectid,crash_time_rank,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names,national_park
43.00,53.00,54.00,[None],,,,,,8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D07,Ward 8,009810,FAR SOUTHEAST AND SOUTHWEST,EMS1205,879867394,2021-02-06 07:40:02+00:00,2021-02-06 01:20:27+00:00,2021-02-06 01:31:53+00:00,"SOUTH CAPITOL ST & ATLANTIC ST SE, WASHINGTON, DC",-77.0076770000,38.8313980000,TC,"[{'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",1,0101000020E61000009CFBABC77D4053C0DBFAE93F6B6A4340,"['""E33""']",EMS1205879867394,197369574,0101000020E610000063EA61D27D4053C0FAF9E05B6A6A4340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.02588277,11 days 04:00:13.000000000,17176,134902,1,0.23522436,16548.0,4,42,0,Yes,BD,2,7,30.0,16.0,,SOUTH CAPITOL ST BN,134902,Minor Arterial,0.8819473,17176,REGULAR,"['Collector', 'Local', 'Minor Arterial']","['134902', '135455', '135554', '136748', '137436']","['ATLANTIC STREET SE', 'ATLANTIC STREET SW', 'MISSISSIPPI AVENUE SE', 'SOUTH CAPITOL STREET']",0
43.00,53.00,54.00,[None],,,,,,8D,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8D07,Ward 8,009810,FAR SOUTHEAST AND SOUTHWEST,EMS1205,895967391,2021-03-01 01:10:01+00:00,2021-02-28 19:50:31+00:00,2021-02-28 20:13:35+00:00,"4022 SOUTH CAPITOL ST SE, WASHINGTON, DC",-77.0073540000,38.8303330000,TC,"[{'UnitID': 'E63', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'E63', 'PulsePointDispatchStatus': 'DP'}]",1,0101000020E6100000AB5FE97C784053C011E50B5A486A4340,"['""E63""']",EMS1205895967391,197372945,0101000020E6100000ACE10D1C804053C0E09C8CB4716A4340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145.80540635,0 days 14:40:20.000000000,,135554,1,12.09150921,,2,32,2,,BD,2,7,20.0,19.0,,BRANDYWINE ST SE,136856,Local,30.62160551,19630,REGULAR,"['Local', 'Minor Arterial']","['134902', '135219', '136856']","['BRANDYWINE STREET SE', 'SOUTH CAPITOL STREET']",0
43.00,57.00,53.00,[None],,,,,,7F,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",7F04,Ward 7,009901,FAR NORTHEAST AND SOUTHEAST,EMS1205,871647134,2021-01-25 08:10:01+00:00,2021-01-25 01:01:59+00:00,2021-01-25 01:20:57+00:00,"MINNESOTA AVE SE & RANDLE CIR SE, WASHINGTON, DC",-76.9611370000,38.8785420000,TC,"[{'UnitID': 'A19', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A19', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000006F7EC344833D53C0CB14731074704340,"['""A19""', '""E19""']",EMS1205871647134,197361304,0101000020E61000004F19F115913D53C0BE1827EA5A704340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,112.31580266,0 days 01:29:23.000000000,15615,134845,1,0.6195272,11419.0,4,40,0,Yes,BD,2,6,25.0,16.0,,MINNESOTA AVE SE,134869,Minor Arterial,0.93171095,15205,REGULAR,['Minor Arterial'],"['124411', '134869', '135207', '136770']","['MINNESOTA AVENUE SE', 'RANDLE CIRCLE SE']",0
43.00,57.00,53.00,[None],,,,,,7F,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",7F04,Ward 7,009901,FAR NORTHEAST AND SOUTHEAST,EMS1205,916850798,2021-03-28 19:10:01+00:00,2021-03-28 14:12:08+00:00,2021-03-28 16:11:40+00:00,"RANDLE CIR SE & MINNESOTA AVE SE, WASHINGTON, DC",-76.9611370000,38.8785420000,TC,"[{'UnitID': 'E19', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'E19', 'PulsePointDispatchStatus': 'OS'}]",1,0101000020E61000006F7EC344833D53C0CB14731074704340,"['""E19""']",EMS1205916850798,197381134,0101000020E610000024331B68813D53C09661269879704340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.17192469,0 days 02:35:23.000000000,,136770,1,0.6195272,11419.0,4,40,0,Yes,BD,2,6,25.0,16.0,,MINNESOTA AVE SE,134869,Minor Arterial,0.93171095,15205,REGULAR,['Minor Arterial'],"['124411', '134869', '135207', '136770']","['MINNESOTA AVENUE SE', 'RANDLE CIRCLE SE']",0
44.00,33.00,60.00,[None],,,,,,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009802,FAR SOUTHEAST AND SOUTHWEST,EMS1205,858144695,2021-01-05 07:10:02+00:00,2021-01-05 00:28:03+00:00,2021-01-05 03:05:32+00:00,"500 ATLANTIC ST SE, WASHINGTON, DC",-76.9994730000,38.8311010000,TC,"[{'UnitID': 'A33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-05T01:17:07Z'}, {'UnitID': 'AMR281', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-05T03:05:32Z'}, {'UnitID': 'E25', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-05T00:34:38Z'}, {'UnitID': 'E32', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-05T00:30:12Z'}]",1,1,0,"[{'UnitID': 'A33', 'UnitClearedDateTime': '2021-01-05T01:17:07Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'AMR281', 'UnitClearedDateTime': '2021-01-05T03:05:32Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E25', 'UnitClearedDateTime': '2021-01-05T00:34:38Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E32', 'UnitClearedDateTime': '2021-01-05T00:30:12Z', 'PulsePointDispatchStatus': 'AR'}]",4,0101000020E61000000A0F9A5DF73F53C021567F84616A4340,"['""A33""', '""AMR281""', '""E25""', '""E32""']",EMS1205858144695,197354353,0101000020E6100000A1E943C6014053C0C68513E85C6A4340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,57.33400809,0 days 00:48:56.000000000,,136352,1,15.31566759,8321.0,2,36,2,Yes,BD,2,6,25.0,16.0,,ATLANTIC ST SE,136352,Minor Arterial,,,,,,,0
44.00,33.00,60.00,[None],,,,,,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009802,FAR SOUTHEAST AND SOUTHWEST,EMS1205,899810573,2021-03-06 09:10:01+00:00,2021-03-06 01:50:59+00:00,2021-03-06 02:55:17+00:00,"400 CONDON TER SE, WASHINGTON, DC",-77.0005530000,38.8312630000,TC,"[{'UnitID': 'A15', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A15', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000008A3A730F094053C0FBAF73D3666A4340,"['""A15""', '""E33""']",EMS1205899810573,,,,,,,,,,1,,,,,1,0.85078784,,2,34,2,,BD,2,6,20.0,19.0,,CONDON TER SE,124020,Local,1.8986747,15740,REGULAR,"['Collector', 'Local']","['124020', '124066', '136083']","['4TH STREET SE', 'CONDON TERRACE SE']",0
44.00,35.00,65.00,"['Community College Preparatory Academy PCS [DCIA]', 'Moten Elementary School']",1.0,0.0,1.0,1.0,1.0,8B,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8B04,Ward 8,007407,FAR SOUTHEAST AND SOUTHWEST,EMS1205,862456072,2021-01-11 19:40:01+00:00,2021-01-11 14:02:44+00:00,2021-01-11 15:38:05+00:00,"2300 ELVANS RD SE, WASHINGTON, DC",-76.9836930000,38.8572610000,TC,"[{'UnitID': 'E15', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-11T14:29:10Z'}, {'UnitID': 'M25', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-11T15:38:05Z'}]",1,0,1,"[{'UnitID': 'E15', 'UnitClearedDateTime': '2021-01-11T14:29:10Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M25', 'UnitClearedDateTime': '2021-01-11T15:38:05Z', 'PulsePointDispatchStatus': 'AR'}]",2,0101000020E610000077137CD3F43E53C071917BBABA6D4340,"['""E15""', '""M25""']",EMS1205862456072,,,,,,,,,,1,,,,,1,0.06259871,,2,32,0,,BD,2,7,25.0,19.0,,ELVANS RD SE,124399,Local,5.00819589,12246,REGULAR,['Local'],"['124399', '135311', '136987', '137379']","['ELVANS ROAD SE', 'ERIE STREET SE', 'MORRIS ROAD SE']",0
44.00,41.00,60.00,['Early Childhood Academy PCS'],1.0,0.0,0.0,0.0,1.0,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,850001617,2020-12-25 17:00:01+00:00,2020-12-25 08:26:34+00:00,2020-12-25 10:29:52+00:00,"875 BARNABY ST SE, WASHINGTON, DC",-76.9919400000,38.8311470000,TC,"[{'UnitID': 'A33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-25T10:29:52Z'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-25T09:11:12Z'}, {'UnitID': 'M33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-25T09:10:07Z'}]",1,0,1,"[{'UnitID': 'A33', 'UnitClearedDateTime': '2020-12-25T10:29:52Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E33', 'UnitClearedDateTime': '2020-12-25T09:11:12Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M33', 'UnitClearedDateTime': '2020-12-25T09:10:07Z', 'PulsePointDispatchStatus': 'AR'}]",3,0101000020E610000008E6E8F17B3F53C092955F06636A4340,"['""A33""', '""E33""', '""M33""']",EMS1205850001617,197350247,0101000020E61000009146C7A6813F53C01608386A676A4340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,33.70247415,0 days 00:55:18.000000000,,135613,1,31.92516277,6415.0,2,34,2,,BD,2,6,25.0,16.0,,BARNABY ST SE,135613,Minor Arterial,,,,,,,0
44.00,41.00,60.00,['Early Childhood Academy PCS'],1.0,0.0,0.0,0.0,1.0,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,859366628,2021-01-07 00:40:01+00:00,2021-01-06 20:18:10+00:00,2021-01-06 21:17:15+00:00,"806 H R DR SE, WASHINGTON, DC",-76.9928200000,38.8303100000,TC,"[{'UnitID': 'A03', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-06T20:25:55Z'}, {'UnitID': 'A19', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-06T21:17:15Z'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-06T20:19:52Z'}, {'UnitID': 'E32', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-06T20:23:18Z'}, {'UnitID': 'E53', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-06T20:55:31Z'}]",0,0,0,"[{'UnitID': 'A03', 'UnitClearedDateTime': '2021-01-06T20:25:55Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'A19', 'UnitClearedDateTime': '2021-01-06T21:17:15Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E19', 'UnitClearedDateTime': '2021-01-06T20:19:52Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E32', 'UnitClearedDateTime': '2021-01-06T20:23:18Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E53', 'UnitClearedDateTime': '2021-01-06T20:55:31Z', 'PulsePointDispatchStatus': 'AR'}]",5,0101000020E610000024B4E55C8A3F53C058C51B99476A4340,"['""A03""', '""A19""', '""E19""', '""E32""', '""E53""']",EMS1205859366628,197355491,0101000020E610000050C8C2E68C3F53C09C6B1CF13F6A4340,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,29.21962846,0 days 02:04:54.000000000,,137573,1,29.1056108,,2,32,2,,BD,2,4,20.0,19.0,,H R DR SE,137573,Local,52.86013303,18643,REGULAR,['Local'],"['135063', '136956', '137573']","['BARNABY STREET SE', 'H R DRIVE SE']",0
44.00,41.00,60.00,"['Early Childhood Academy PCS', 'Early Childhood Academy PCS [Facility B]']",1.0,0.0,0.0,0.0,1.0,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,872458662,2021-01-26 15:40:02+00:00,2021-01-26 05:23:55+00:00,2021-01-26 06:16:29+00:00,"900 BARNABY ST SE, WASHINGTON, DC",-76.9909030000,38.8323540000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'OS'}]",2,0101000020E610000088A06AF46A3F53C0EF586C938A6A4340,"['""A32""', '""E33""']",EMS1205872458662,197361438,0101000020E61000008AB80689633F53C0FA980B63966A4340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56.1002847,0 days 01:58:22.000000000,,136509,1,0.37174866,,2,34,2,,BD,2,6,20.0,19.0,,9TH ST SE,124112,Local,0.82593895,14664,REGULAR,"['Local', 'Minor Arterial']","['124112', '135023', '135613', '136509']","['9TH STREET SE', 'BARNABY STREET SE']",0
44.00,41.00,60.00,[None],,,,,,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,875999478,2021-01-31 18:00:02+00:00,2021-01-31 09:28:03+00:00,2021-01-31 09:56:08+00:00,"H R DR SE & BARNABY ST SE, WASHINGTON, DC",-76.9934170000,38.8303880000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E33', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000009692E524943F53C0D47E6B274A6A4340,"['""A32""', '""E33""']",EMS1205875999478,197364147,0101000020E61000003E59702D943F53C02FA405674A6A4340,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0.86006815,0 days 02:09:40.000000000,18643,135063,1,0.52332356,,2,32,2,,BD,2,4,20.0,19.0,,H R DR SE,137573,Local,0.87634888,18643,REGULAR,['Local'],"['135063', '136956', '137573']","['BARNABY STREET SE', 'H R DRIVE SE']",0
44.00,41.00,60.00,[None],,,,,,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,876010547,2021-01-31 18:20:01+00:00,2021-01-31 10:07:54+00:00,2021-01-31 10:37:42+00:00,"H R DR SE & BARNABY ST SE, WASHINGTON, DC",-76.9934170000,38.8303880000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E25', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E25', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000009692E524943F53C0D47E6B274A6A4340,"['""A32""', '""E25""']",EMS1205876010547,197364147,0101000020E61000003E59702D943F53C02FA405674A6A4340,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0,0.86006815,0 days 01:29:49.000000000,18643,135063,1,0.52332356,,2,32,2,,BD,2,4,20.0,19.0,,H R DR SE,137573,Local,0.87634888,18643,REGULAR,['Local'],"['135063', '136956', '137573']","['BARNABY STREET SE', 'H R DRIVE SE']",0
44.00,41.00,60.00,[None],,,,,,8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E07,Ward 8,009700,FAR SOUTHEAST AND SOUTHWEST,EMS1205,916192834,2021-03-28 00:20:01+00:00,2021-03-27 19:38:46+00:00,2021-03-27 20:27:11+00:00,"BARNABY ST SE & WHEELER RD SE, WASHINGTON, DC",-76.9894840000,38.8334620000,TC,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E25', 'PulsePointDispatchStatus': 'ER'}]",0,0,0,"[{'UnitID': 'A32', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E25', 'PulsePointDispatchStatus': 'ER'}]",2,0101000020E610000094FAB2B4533F53C0B83A00E2AE6A4340,"['""A32""', '""E25""']",EMS1205916192834,197138259,0101000020E6100000A18691695C3F53C0C7560989A16A4340,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0,64.60494073,0 days 04:44:32.000000000,,136509,1,0.54092886,10410.0,4,43,0,Yes,BD,2,6,30.0,16.0,,WHEELER RD SE,135531,Minor Arterial,0.91420236,15498,REGULAR,['Minor Arterial'],"['135531', '136509', '137359']","['BARNABY STREET SE', 'WHEELER ROAD SE']",0
44.00,48.00,59.00,[None],,,,,,7D,Cluster 29,"Eastland Gardens, Kenilworth",7D02,Ward 7,009601,FAR NORTHEAST AND SOUTHEAST,EMS1205,867019996,2021-01-18 12:40:02+00:00,2021-01-18 03:36:21+00:00,2021-01-18 03:56:08+00:00,"4400 ORD ST NE, WASHINGTON, DC",-76.9400490000,38.9087480000,TC,"[{'UnitID': 'A30', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A30', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E6100000CDE847C3293C53C01827BEDA51744340,"['""A30""', '""E30""']",EMS1205867019996,,,,,,,,,,1,,,,,1,19.28745623,,2,32,2,,BD,2,7,20.0,19.0,,44TH ST NE,129638,Local,29.02438622,18224,REGULAR,['Local'],"['129638', '133600', '133942', '135083']","['44TH STREET NE', 'ORD STREET NE']",0
44.00,49.00,70.00,"['KIPP DC - AIM Academy PCS', 'KIPP DC - Discover Academy PCS', 'KIPP DC - Heights Academy PCS']",1.0,0.0,0.0,0.0,1.0,8A,Cluster 37,"Sheridan, Barry Farm, Buena Vista",8A07,Ward 8,007407,FAR SOUTHEAST AND SOUTHWEST,EMS1205,855992350,2021-01-02 00:20:01+00:00,2021-01-01 20:04:40+00:00,2021-01-01 21:13:05+00:00,"1449 HOWARD RD SE, WASHINGTON, DC",-76.9873810000,38.8582550000,TC,"[{'UnitID': 'A15', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T20:45:30Z'}, {'UnitID': 'E32', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T20:29:25Z'}, {'UnitID': 'M25', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-01T21:13:04Z'}]",1,0,1,"[{'UnitID': 'A15', 'UnitClearedDateTime': '2021-01-01T20:45:30Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E32', 'UnitClearedDateTime': '2021-01-01T20:29:25Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M25', 'UnitClearedDateTime': '2021-01-01T21:13:04Z', 'PulsePointDispatchStatus': 'AR'}]",3,0101000020E610000046EC1340313F53C07250C24CDB6D4340,"['""A15""', '""E32""', '""M25""']",EMS1205855992350,,,,,,,,,,1,,,,,1,16.66548319,,2,32,2,,BD,2,7,20.0,19.0,,HOWARD RD SE,135037,Local,30.04281126,16781,REGULAR,['Local'],"['124775', '135037', '136312']","['14TH PLACE SE', 'HOWARD ROAD SE']",0
44.00,59.00,71.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A01,Ward 2,006202,CENTRAL WASHINGTON,EMS1205,902185581,2021-03-09 18:40:02+00:00,2021-03-09 12:53:30+00:00,2021-03-09 14:48:43+00:00,"INDEPENDENCE AVE SW & MAINE AVE SW, WASHINGTON, DC",-77.0366490000,38.8869280000,TCE,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'AMR209', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'BC2', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'EMS6', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-09T13:15:35Z'}, {'UnitID': 'M02', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'R1', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-09T13:10:33Z'}, {'UnitID': 'T10', 'PulsePointDispatchStatus': 'OS'}]",0,0,0,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'AMR209', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'BC2', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'EMS6', 'UnitClearedDateTime': '2021-03-09T13:15:35Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M02', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'R1', 'UnitClearedDateTime': '2021-03-09T13:10:33Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'T10', 'PulsePointDispatchStatus': 'OS'}]",8,0101000020E6100000971B0C75584253C00EF450DB86714340,"['""A16""', '""AMR209""', '""BC2""', '""E13""', '""EMS6""', '""M02""', '""R1""', '""T10""']",EMS1205902185581,,,,,,,,,,1,,,,,1,0.77399856,46135.0,3,30,0,,IB,1,9,25.0,14.0,NHS Non-Interstate,MAINE AVE SW,137119,Principal Arterial,0.88738523,15928,REGULAR,['Principal Arterial'],"['123847', '124475', '137119']",['INDEPENDENCE AVENUE SW'],1
44.00,59.00,71.00,[None],,,,,,2A,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",2A01,Ward 2,006202,CENTRAL WASHINGTON,EMS1205,905655483,2021-03-14 07:50:02+00:00,2021-03-14 01:50:50+00:00,2021-03-14 03:16:00+00:00,"EAST BASIN DR SW & MAINE AVE SW, WASHINGTON, DC",-77.0333700000,38.8841050000,TC,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E6100000B9AAECBB224253C0739D465A2A714340,"['""A16""', '""E13""']",EMS1205905655483,,,,,,,,,,1,,,,,1,0.48340641,46135.0,2,24,0,,IB,1,8,25.0,14.0,NHS Non-Interstate,MAINE AVE SW,124504,Principal Arterial,39.69463776,17828,REGULAR,"['Local', 'Minor Arterial', 'Principal Arterial']","['124116', '124343', '135036']","['EAST BASIN DRIVE SW', 'MAINE AVENUE SW']",1
44.00,61.00,58.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A04,Ward 2,006202,CENTRAL WASHINGTON,EMS1205,849441290,2020-12-24 21:20:01+00:00,2020-12-24 16:20:35+00:00,2020-12-24 18:21:15+00:00,"LINCOLN MEMORIAL CIR SW, WASHINGTON, DC",-77.0521410000,38.8887010000,TC,"[{'UnitID': 'A23', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-24T17:12:10Z'}, {'UnitID': 'AMR228', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-24T18:21:15Z'}, {'UnitID': 'AMR285', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-24T18:13:18Z'}, {'UnitID': 'E23', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-24T16:45:30Z'}]",2,2,0,"[{'UnitID': 'A23', 'UnitClearedDateTime': '2020-12-24T17:12:10Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'AMR228', 'UnitClearedDateTime': '2020-12-24T18:21:15Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'AMR285', 'UnitClearedDateTime': '2020-12-24T18:13:18Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E23', 'UnitClearedDateTime': '2020-12-24T16:45:30Z', 'PulsePointDispatchStatus': 'AR'}]",4,0101000020E6100000F8713447564353C0147651F4C0714340,"['""A23""', '""AMR228""', '""AMR285""', '""E23""']",EMS1205849441290,,,,,,,,,,1,,,,,1,14.43171217,40198.0,5,61,0,Yes,BD,0,,20.0,14.0,NHS Non-Interstate,LINCOLN MEMORIAL CIR SW,135199,Principal Arterial,15.90414068,17357,REGULAR,['Principal Arterial'],"['124613', '134944', '135199']","['ARLINGTON MEMORIAL BRIDGE SW', 'LINCOLN MEMORIAL CIRCLE SW']",1
45.00,27.00,66.00,['Simon Elementary School'],1.0,0.0,0.0,1.0,0.0,8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C07,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,EMS1205,850366764,2020-12-26 05:10:00+00:00,2020-12-25 22:30:59+00:00,2020-12-26 00:20:27+00:00,"401 MISSISSIPPI AVE SE, WASHINGTON, DC",-77.0000520000,38.8359100000,TC,"[{'UnitID': 'A33', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-26T00:20:27Z'}]",1,0,1,"[{'UnitID': 'A33', 'UnitClearedDateTime': '2020-12-26T00:20:27Z', 'PulsePointDispatchStatus': 'AR'}]",1,0101000020E610000029931ADA004053C01E335019FF6A4340,"['""A33""']",EMS1205850366764,197350266,0101000020E610000098EEAD580A4053C0E61DC1C1EB6A4340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,82.61654727,0 days 02:43:33.000000000,14628,136838,1,62.2590528,4045.0,2,41,2,Yes,BD,2,5,20.0,17.0,,4TH ST SE,135068,Collector,,,,,,,0
