Category,Violation
D,PASS A FLASHING YELLOW TRAFFI SIGNAL
D,TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED
D,SPEED UP TO TEN MPH OVER THE SPEED LIMIT
D,FAIL TO YIELD TO PEDESTRIAN AT NON-SIGNALIZED SITE
S,NO REAR TAGS
D,OBSTRUCTING CROSSWALK OR INTERSECTION
D,PASSING  VEHICLE ON RIGHT
D,OPEN DOOR TO APPROACHING TRAFFIC
D,DRIVE AT UNREASONABLE SPEED
S,LITTERING FROM VEHICLE ON PRIVATE/PUBLI PROPERTY
D,PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS
D,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL
D,VIOLATION OF ONE WAY STREET RESTRICTION
S,EXPIRED PERMIT 90 DAYS
D,MAKING A U TURN WHERE U TURNS ARE PROHIBITED
S,COVERED LICENSE PLATE
MISC,FAIL TO USE SEATBELT IN CMV
S,FAIL TO HAVE D TAGS
S,IMPROPER USE OF DEALER TAG(S)
S,DEALER VEHICLE WITHOUT REGISTRATION
S,PERMIT USE OF EXPIRED TAGS
S,DEFECTIVE WINDSHIELD
S,NO FENDER(S) OR BUMPER(S)
S,PERMIT OPERATION OF AN UNSAFE VEHICLE
S,NO REAR VIEW MIRROR(S)
S,LOANING TAGS
S,IMPROPER DEALER TAGS
S,OPERATING VEHICLE WITH CONDITIONAL INSPECTION
S,OPERATING VEHICLE LEARNER PERMIT NO LICENSE
MISC,NO INSPECTION STICKER ON A TAXICAB
S,LEAVING A MOTOR RUNNING UNATTENDED
D,ONE WAY STREET VIOLATION
D,OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN
S,FAIL TO CHANGE ADDRESS ON PERMIT
S,BAD FOOT BRAKES
MISC,VIOLATION OF TOWING REGULATIONS
S,PERMIT UNAUTHORIZED PERSON TO OPERATE VEHICLE
S,OPERATING WITHOUT  WINDSHIELD WIPERS
S,UNNECESSARY NOISE FROM HORN
D,DRIVE OVER A SIDEWALK
D,FAIL TO SLOW AT AN INTERSECTION
S,EXPIRED INSPECTION STICKER
S,ALTERED TAGS
D,FAIL TO STOP FOR APPROACHING SCHOOL BUS
S,LEARNER'S  PERMIT  AGE RESTRICTION
D,SPEEDING IN CMV 15 MPH OVER SPEED LIMIT
D,INTERFERE WITH TRAFFI WHEN PULLING FROM CURB
S,SEAT BELT REGULATION MULTIPLE VIOLATIONS
MISC,TRUCK RESTRICTED ROUTE
S,"LICENSE/PERMIT, DISPLAY OR USING ANOTHER PERSON'S"
MISC,OVERWEIGHT COMMERCIAL MOTOR VEHICLE
D,BIKE/PMD FAIL TO YIELD RIGHT OF WAY  TO PED OR VEH
S,EXPIRED MEDICAL CERTIFICATE
D,TURN RIGHT ON RED WITHOUT COMPLETE STOP
S,OBSTRUCTED WINDSHIELD
D,IMPROPER TURN AT AN INTERSECTION
D,COLLIDING WITH PEDESTRIAN
D,PASSING IN AN INTERSECTION
D,DRIVE OFF THE ROADWAY
D,OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER
D,RIGHT TURN ON RED FAIL YIELD PEDESTRIAN/VEHICLE
S,OPERATE UNREGISTERED MOTOR DRIVEN CYCLE
S,FAIL OR REFUSE TO FOLLOW POLICE OFFICER DIRECTION
D,FAIL TO STOP PER REGULATIONS AT FLASHING RED LIGHT
S,FAIL TO REPLACE INSPECTION STICKER
D,OVER 25 MPH IN EXCESS OF LIMIT ON CONTROLLED ACCES
S,DRIVING AFTER BEING DECLARED OUT-OF-SERVICE
D,DRIVING ON MEDIAN OR CHANNELIZING TRAFFI ISLAND
S,WINDSHIELD NOT IN OPERATING CONDITION
S,OPERATE VEHICLE IN UNSAFE MECHANICAL CONDITION
D,FAIL TO YIELD ROW STATIONARY EMERGENCY VEHICLE
D,FAIL TO SECURE LOAD ON VEHICLE
MISC,CDL NOT-OUT-OF-SERVICE VIOLATION
D,FAIL TO YIELD TO PEDESTRIAN ON SIDEWALK
S,UNSAFE BUMPER
MISC,CDL OUT-OF-SERVICE VIOLATION
D,DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS
S,OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION
S,FAIL TO WEAR  HELMET MOTORCYCLE/MOTOR DRIVEN CYCLE
S,TURNED OFF HEADLIGHTS
D,FAIL TO YIELD WHEN EMERGING FROM AN ALLEY
S,TINTED WINDOW VIOLATION FAIL TO COMPLY 1
D,DRIVE OVER MEDIAN
S,UNLICENSED D OPERATOR
D,DISOBEYING OFFICIAL TRAFFI CONTROL DEVICE
S,UNAUTHORIZED LIGHTS ON VEHICLE
S,NO MEDICAL CERTIFICATE IN DRIVER'S POSS - OOS
S,PROVISIONAL PERMIT PASSENGER RESTRICTION
D,FAIL TO SECURE TRASH LOAD
D,DRIVE TOO SLOWLY TO IMPEDE OR BLOCK TRAFFIC
S,LEARNER'S PERMIT WITHOUT ACCOMPANYING CDL HOLDER
S,"OBSTRUCTED, REAR, FRONT OR SIDE VISION IN VEHICLE"
D,VIOLATION OF NO TURN SIGN
D,DRIVE THROUGH OR PASS A BARRICADE
D,BACKING TO TURN
S,ALTERING A DRIVING PERMIT
S,ILLEGIBLE TAGS
S,FAIL TO APPLY D TAG
MISC,NO OR INVALID DRIVER'S LICENSE IN CMV
S,TELEVISION VISIBLE TO VEHICLE OPERATOR
D,"LANE, IMPROPER USE OF RESTRICTED"
S,OPERATE UNSAFE VEHICLE
D,PASSING ON A CURVE
D,SPEEDING IN CMV 11-14 MPH OVER SPEED LIMIT
S,IMPROPER LIGHT(S)
D,FAIL TO KEEP RIGHT
D,OBSTRUCTING TRAFFIC
D,DRIVE THROUGH OR WITHIN A SAFETY ZONE
S,FAIL TO OBEY OFFICER'S ORDERS
D,DRIVING OVER LAWN
S,CARRY PASSENGER OR FAIL TO RIDE ON SEAT
S,FAIL TO CHANGE ADDRESS ON REGISTRATION
MISC,OPERATING CMV WITH LAMPS/REFLECTORS OBSCURED
S,LESS THAN 18 YRS OLD MANDATORY SEAT BELT VIOL
S,UNSAFE TIRE(S)
MISC,DO NOT USE
S,ILLEGAL HEADLIGHT(S)
D,RIDE BIKE/PMD  SIDEWALK  CENTRAL BUSINESS DISTRICT
D,FOLLOW WITHIN FIVE HUNDRED FEET OF FIRE APPARATUS
D,MOTOR DRIVEN CYCLE SPEED > 30 MPH
D,WORK ZONE VIOLATION - FINE DOUBLES
S,EXCESSIVE IDLING
S,BAD HAND BRAKES
S,PASSING WITH AN OBSTRUCTED VIEW
D,DRIVE OVER A FIRE HOSE
S,OBJECT HANGING IN VEHICLE SO AS TO OBSTRUCT VISION
S,VEHICLE NOT PLACARDED AS REQUIRED
MISC,COMMERCIAL VEHICLE SPILT LOAD
S,NO SPEEDOMETER
S,LESS THAN 18 YRS OLD NIGHT RESTRICTION
S,PROVISIONAL PERMIT NIGHT RESTRICTION
MISC,OPERATE A CMV WITHOUT A CDL
S,PROHIBITED/PERMISSIVE PLACARDING
S,COAST WITH GEARS UNMESHED
S,OPERATE VEHICLE WITH DOORS OPEN
S,UNNECESSARY NOISE
S,IMPROPERLY RIDING ON VEHICLE
S,FAIL TO TURN IN D TAGS
S,EXCESSIVE SMOKE
S,FAIL TO USE RUNNING LIGHT(S)
D,BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK
MISC,VIOLATE BRIDGE LOAD LIMIT
S,REMOVE INSPECTION STICKER
S,UNAUTHORIZED USE OF SIREN
S,SOLICIT RIDE ON THE SIDE OF THE ROADWAY
MISC,COMMERCIAL VEHICLE OPERATING WHILE IN PARK
D,FAIL TO OBEY GREEN ARROW TRAFFI SIGNAL
MISC,OVERHEIGHT VEHICLE
S,NO REAR MIRROR ON A MOTORCYCLE
S,DRIVING A TRUCK THROUGH A RESTRICTED STREET
S,BIKE GIVE FALSE INFORMATION
S,LESS THAN 18 YRS OLD PASSENGER RESTRAINT VIOL
MISC,FAIL TO REMOVE EXPIRED TAXICAB INSPECTION STICKER
D,FAIL TO BACK INTO PARKING SPACE
D,"BUS LANE, UNAUTHRIZED DRIVING IN A"
MISC,DRIVING A BUS THROUGH A RESTRICTED STREET
D,RECKLESS DRIVING
MISC,FAIL TO OBEY TRAFFI CONTROL DEVICE COMM VEHICLE
S,OPERATING WITH A TORN FENDER
MISC,OVERHEIGHT COMMERCIAL MOTOR VEHICLE
S,OPERATING AN OUT OF SERVICE VEHICLE
S,NO VALID MEDICAL WAIVER IN DRIVER'S POSSESSION
S,DRIVING CMV (CDL) WHILE DISQUALIFIED - OOS
S,FAIL TO HAVE MOTORCYCLE PERMIT
MISC,OPERATING STEAM SHOVEL DURING RESTRICTED HOURS
D,BOARD A VEHICLE WHILE IT IS IN MOTION
S,FAIL TO TRANSFER D TITLE
S,TINTED WINDOW VIOLATION FAIL TO COMPLY 2
MISC,OVERWEIGHT UP TO 5000 POUNDS OVER LIMIT
S,DRIVER'S RECORD OF DUTY STATUS NOT CURRENT
D,ENTER A BLOCK WITH FIRE APPARATUS PRESENT
D,INTERFERE WITH A TRAFFI SIGNAL DEVICE
S,OPERATING A MINIBIKE WHILE UNLICENSED
D,SCHOOL ZONE VIOLATION - FINE DOUBLES
MISC,OVERLENGTH COMMERCIAL MOTOR VEHICLE
MISC,TOWING WITHOUT SAFETY CHAIN
S,DEFECTIVE MUFFLER
MISC,FAIL TO FILE OR INCOMPLETE ACCIDENT REPORT
MISC,FAIL TO FILE AN ACCIDENT REPORT
S,FAIL TO OBEY CIVILIAN TRAFFI OFFICER
MISC,NO COPY OF USDOT HM REGISTRATION NUMBER
D,SPEEDING IN CMV UP TO 10 MPH OVER SPEED LIMIT
D,DRIVE THROUGH A FUNERAL PROCESSION
S,PERMIT BAD BRAKES
S,DEFECTIVE SPEEDOMETER
S,NO REAR VIEW MIRROR ON MINIBIKE
D,FAIL TO TURN WHEEL TO CURB
S,UNAPPROVED VEHICLE OPERATOR
MISC,NOT FOR HIRE TAXICAB ON TAXICAB STAND
S,SPEEDING TO PREVENT A VEHICLE FROM PASSING
D,FAILURE TO YEILD ROW  TO TRANSIT BUS
MISC,DRIVE CMV W/O PROPER CLASS OR ENDORSEMENTS ON DL
MISC,REFUSING TO PAY A TAXICAB FARE
S,SMOKE SCREEN
S,DRIVE VEHICLE ON THE WHEEL RIM WITHOUT A TIRE
S,UNAUTHORIZED PERSON -PASSENGER VEHICLE
S,PERMIT USE OF LICENSE BY ANOTHER PERSON
 MISC,NO SNOW TIRE OR CHAIN
S,FAILURE TO MAKE REQUIRED PAYMENT OF FINE
D,VIOLATION OF SNOW EMERGENCY PARKING REGULATIONS
D,FAIL TO PROCEED WITH CAUTION THROUGH AN INCIDENT
D,FAIL TO USE HAND BRAKE
MISC,10 HOUR RULE VIOLATION (PASSENGER)
D,MOTORCYCLE PASSING IN TANDEM
D,MOTORCYCLE/ MOTOR DRIVEN CYCLE IMPROPER RIDING  ON
S,FAIL TO REGISTER BIKE
MISC,LOG VIOLATION (GENERAL / FORM AND MANNER) CMV
D,LOAD OVER FENDER(S)
MISC,LENGTH OVER 40'/55'
D,NO RED FLAG ON END OF LOAD
D,PASS ON A HILL
S,PERMIT PASSENGER TO RIDE ON VEHICLE
S,NON-ENGLISH SPEAKING DRIVER - CMV - OOS
S,NO AUTO INSURANCE
D,GREATER VEHICLE WIDTH THAN PERMITTED
S,FALSE REPORT OF DRIVER'S DUTY STATUS
S,DRIVER FAILS TO MAINTAIN PREVIOUS 7 DAYS LOGS
D,PASSING APPROACHING FIRE APPARATUS
MISC,NO SHIPPING PAPER
MISC,HAZMAT OUT-OF-SERVICE VIOLATION
MISC,FAIL TO DISPLAY PS LICENSE IN TAXICAB
D,VIOLATION OF TUNNEL RESTRICTIONS
S,"UNAUTHORIZED ITEM ON WINDOW, MIRROR, OR FRAME"
S,DRIVE TRUCK WITH RESTRICTED PERMIT
S,UNAUTHORIZED USE OF EMERGENCY PARKING PERMIT
S,INTERSTATE DRIVER UNDER 21 YEARS OF AGE OOS
D,MOTOR DRIVEN CYCLE SPEED OPERATING >30 MPH
D,SPEEDING IN CMV UP TO 10 MPH OVER SPEED LIMIT C
