,OBJECTID_left,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MARID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,BLOCKKEY,SUBBLOCKKEY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
432,167334505,25161963,14157931,2014-10-14T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2014-10-13T04:00:00+00:00,1970-01-01T00:00:00+00:00,302118,500 12TH STREET,38.896319,-77.028083,397563.874,136497.002,Ward 2,{513C6C02-B959-412D-B8C6-6DF48605ABDE},500 12TH STREET NW,85.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,167334551,28139927,19147615,2019-08-20T22:09:00+00:00,Route not found,0.0,0.0,,,2019-08-20T04:00:00+00:00,1970-01-01T00:00:00+00:00,228314,110 IRVING STREET NW,38.929556,-77.016442,398574.332,140186.338,Ward 5,{51A33931-2FBC-4B6B-898C-08AAD4EB4A4C},110 IRVING STREET NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,38.962019,-76.994736,398583.14,140184.87,Unknown,Unknown,0,0,0,1,POINT Z (-76.99473828236593 38.96202679762304 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,167334558,28244676,19211640,2019-12-03T14:22:20+00:00,13081512,8084.31,1.16,,,2019-11-26T05:00:00+00:00,1970-01-01T00:00:00+00:00,19033,4616 SOUTHERN AVENUE SE,38.874873,-76.933011,405812.925,134118.086,Ward 7,{DBB9FDBB-F118-4071-A3FC-5C1C3341D4D6},4616 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13016802,BOONES HILL RD SE,17.56,Southwest,,1970-01-01T00:00:00+00:00,38.875534,-76.931613,405812.62,134099.28,a475dff02e6c4a6b6ce0453e88023610,a475dff02e6c4a6b6ce0453e88023610,0,0,0,0,POINT Z (-76.93162474614722 38.87554918746869 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,167334591,28504653,20118337,2020-08-19T13:09:19+00:00,0,0.0,9.59,,,2020-08-19T04:00:00+00:00,1970-01-01T00:00:00+00:00,278176,2532 SOUTHERN AVENUE SE,38.847504,-76.968319,402750.118,131078.263,Ward 8,{3F25823B-7E99-4E52-B484-9FDA607D4478},2532 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,2020-08-21T14:30:28+00:00,38.847308,-76.967695,402774.29,131080.17,9a7e66f54f092d097a649d1b4f844d79,45a13f265cd412a6387dfeda8e00ce91,0,0,0,1,POINT Z (-76.96777541991621 38.84737678678606 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,167334618,28495551,20113952,2020-08-10T06:22:48+00:00,0,0.0,2.93,,,2020-08-09T04:00:00+00:00,1970-01-01T00:00:00+00:00,23952,4300 WHEELER ROAD SE,38.832792,-76.988092,401033.877,129444.739,Ward 8,{E16C381C-4170-489A-9FA2-AAC214FE7093},4300 WHEELER ROAD SE,200.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,2020-08-16T14:31:46+00:00,38.832126,-76.987292,401045.57,129434.51,1fa714439c77535c6bf918c8994dc333,1fa714439c77535c6bf918c8994dc333,0,0,0,0,POINT Z (-76.98730781119519 38.83210958651217 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,167334633,28494595,20113454,2020-08-09T08:37:04+00:00,0,0.0,26.24,,,2020-08-08T04:00:00+00:00,1970-01-01T00:00:00+00:00,68269,1314 EASTERN AVENUE NE,38.908214,-76.92898,406159.862,137819.531,Ward 7,{2945D793-31E7-4C2C-B90F-24BD2CF4A230},1314 EASTERN AVENUE NE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,2020-08-14T14:37:17+00:00,38.908048,-76.929195,406141.22,137801.03,1da6b7df325a038520208ba1634a006a,1da6b7df325a038520208ba1634a006a,0,0,0,0,POINT Z (-76.92898234545773 38.90822217902221 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,167334645,28551974,20142517,2020-10-06T19:32:23+00:00,0,0.0,34.68,,,2020-10-05T04:00:00+00:00,1970-01-01T00:00:00+00:00,298183,5944 SOUTHERN AVENUE SE,38.888486,-76.915259,407351.977,135630.504,Ward 7,{F20181D7-B314-4451-8CE4-F3091BF2C5A3},5944 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.888755,-76.915222,407355.1,135660.41,b973579622628dcb16ac843319e5f0e3,5bfc4f02897dd344eb0cf13554c92b04,0,0,2,0,POINT Z (-76.9149424073471 38.88854119521476 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,167334769,25181156,14175338,2014-11-11T05:00:00+00:00,13081512,76.48,39.71,-9.0,32996.0,2014-11-11T05:00:00+00:00,1970-01-01T00:00:00+00:00,276660,4700 SOUTH CAPITOL STREET SE,38.821901,-77.001161,399933.144,128238.315,Ward 8,{F3FB59B7-A7CB-48BC-AEC6-37171343198E},4700 SOUTH CAPITOL STREET SE,200.0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58015272,Driveway-58015272,17.95,Southwest,,1970-01-01T00:00:00+00:00,38.821901,-77.001161,,,6c069e1e910fbd5b960c9ae662f5bf28,d71b02dd0f9d6f299491daf7cecc8f09,0,0,0,0,POINT Z (-77.0008347377922 38.8216599156605 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,167334959,24487325,13033284,2013-03-14T05:00:00+00:00,Route not found,0.0,0.0,7663.0,15136.0,2013-03-14T04:00:00+00:00,1970-01-01T00:00:00+00:00,907241,6TH ST SE and  SOUTHERN AVE SE,38.822831,-76.999278,400062.71,128338.99,Ward 8,{6F208AA5-35FB-4B77-B174-3F587E9B9E10},6TH STREET SE AND SOUTHERN AVENUE SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,167335044,25273956,15069661,2015-05-14T05:00:00+00:00,Route not found,0.0,0.0,6585.0,7062.0,2015-05-14T04:00:00+00:00,1970-01-01T00:00:00+00:00,901383,18TH ST NE and  ADAMS ST NE,38.920228,-76.978994,401821.66,139150.95,Ward 5,{5A0803E1-7E77-4205-ADB1-80308AF9F484},ADAMS STREET NE AND 18TH STREET NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,167335066,25142930,14147413,2014-09-26T05:00:00+00:00,Route not found,0.0,0.0,2710.0,3217.0,2014-09-26T04:00:00+00:00,1970-01-01T00:00:00+00:00,900204,PLEASANT STREET AND 13TH STREET SE,38.863781,-76.988053,401036.87,132884.71,Ward 8,{57AC7574-C00B-4107-AFBD-782C6B87ED3E},13TH STREET SE AND PLEASANT STREET SE,87.5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,167335071,24487587,13033479,2013-03-15T05:00:00+00:00,Route not found,0.0,0.0,6139.0,20764.0,2013-03-15T04:00:00+00:00,1970-01-01T00:00:00+00:00,903099,QUEENS CHAPEL RD NE and  BLADENSBURG RD NE,38.918534,-76.971477,402473.55,138963.07,Ward 5,{9472A210-8FD5-4CF9-A37B-D45093B11D32},BLADENSBURG ROAD NE AND QUEENS CHAPEL ROAD NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,167335109,25143953,14052319,2014-04-16T09:15:00+00:00,13081512,2945.62,0.02,7633.0,19600.0,2014-04-16T04:00:00+00:00,1970-01-01T00:00:00+00:00,900779,SOUTHERN AVE SE and  VALLEY TER SE,38.839981,-76.977246,401975.43,130242.96,Ward 8,{BCF689A7-44F1-4443-8EBB-781E1F649987},SOUTHERN AVENUE SE AND VALLEY TERRACE SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,13088732*1,Not Available,0.02,Northeast,,1970-01-01T00:00:00+00:00,,,,,915775fa980758e5766008c59d45025f,915775fa980758e5766008c59d45025f,0,0,1,0,POINT Z (-76.97724809481731 38.83998863132329 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,167335121,26607481,09164780,2009-11-17T05:00:00+00:00,13081512,1991.32,0.0,7633.0,6384.0,2009-11-17T05:00:00+00:00,1970-01-01T00:00:00+00:00,907523,13TH STREET SE AND SOUTHERN AVENUE SE,38.833905,-76.985022,401300.45,129568.37,Ward 8,{0536A0D1-086D-4F03-AF79-693488C3458E},13TH STREET SE AND SOUTHERN AVENUE SE,100.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13001302,13TH ST SE,0.01,Northeast,,1970-01-01T00:00:00+00:00,,,,,568ab74361d512164afa9fe648c64135,160d102395bc03adcfb655871b8f2e44,0,0,0,0,POINT Z (-76.98502426806483 38.83391276499879 0),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,167335294,26607747,09162952,1970-01-01T00:00:00+00:00,12031982,5731.69,0.02,8081.0,6899.0,2009-11-13T05:00:00+00:00,1970-01-01T00:00:00+00:00,905110,EASTERN AVE NE and QUEENS CHAPEL RD NE,38.946386,-76.977718,401931.535,142054.788,Ward 5,{BE018864-D43A-4BB2-A191-16310BFC3993},EASTERN AVENUE NE AND QUEENS CHAPEL ROAD NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12060582,MICHIGAN AVE NE,0.03,Southeast,,1970-01-01T00:00:00+00:00,,,,,74e6635be615a074e17283c7bd6369bf,e25d9407045699b3dbb7681a8d9a569a,0,0,0,0,POINT Z (-76.97772048631379 38.94639368132233 0),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,167335427,24395945,13003506,2013-01-09T05:00:00+00:00,0,0.0,33.75,269.0,223.0,2013-01-09T05:00:00+00:00,1970-01-01T00:00:00+00:00,298827,8200 16TH STREET NW,38.992328,-77.036705,396836.595,147134.921,Ward 4,{33ED9B6E-FA9D-45AB-966D-3BC6CF77191F},8200 16TH STREET NW,200.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,38.992328,-77.036705,,,9c198f2e23e59743d3ad213cda96b6b1,9c198f2e23e59743d3ad213cda96b6b1,0,0,0,0,POINT Z (-77.03631770102454 38.99233279193361 0),2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,167335437,27017452,16125746,2016-07-29T07:26:21+00:00,13081512,9417.81,5.21,11792.0,12146.0,2016-07-28T04:00:00+00:00,1970-01-01T00:00:00+00:00,288700,5720 SOUTHERN AVENUE SE,38.885765,-76.91858,407062.468,135323.01,Ward 7,{702F74A9-E7D5-47FA-8920-6D0223442D5B},5670 CENTRAL AVENUE SE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,13021582,CENTRAL AVE SE,3.46,Northeast,,1970-01-01T00:00:00+00:00,38.885765,-76.91858,407106.32,135393.14,3bc54f7adbd76f2c4c5ef713e8f1011f,3bc54f7adbd76f2c4c5ef713e8f1011f,0,0,0,0,POINT Z (-76.91853990190953 38.88573952145927 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,167335457,27134688,16199265,2016-11-23T19:04:19+00:00,12031982,2699.32,2.46,4209.0,18673.0,2016-11-23T05:00:00+00:00,1970-01-01T00:00:00+00:00,62953,1600 EASTERN AVENUE NE,38.91006,-76.931377,405953.555,138025.994,Ward 7,{84257BE3-75C9-468F-8800-7BCDF271FCCD},1460 EASTERN AVENUE NE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12009132,ADDISON RD NE,6.32,Southeast,,1970-01-01T00:00:00+00:00,38.91006,-76.931377,405802.37,138145.73,f171b9dfa2295d05e1686f0806757b54,ff385406f590711daecf400d30d402a4,0,0,0,0,POINT Z (-76.93135903823968 38.91008339089044 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,167335465,27017557,16125857,2016-07-29T14:19:18+00:00,13081512,7959.87,8.79,1284.0,2041.0,2016-07-29T04:00:00+00:00,1970-01-01T00:00:00+00:00,18139,4708 SOUTHERN AVENUE SE,38.875111,-76.932318,405879.22,134138.346,Ward 7,{548898DC-C407-4DB3-8E7B-29EDD87ED7AE},4708 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13075012,REED TER SE,30.38,Northeast,,1970-01-01T00:00:00+00:00,38.875111,-76.932318,405862.42,134155.09,a475dff02e6c4a6b6ce0453e88023610,a475dff02e6c4a6b6ce0453e88023610,0,0,0,0,POINT Z (-76.93224894661483 38.87506251200917 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
